,Movie,Worldwide Lifetime Gross / US$,% Gross in US
141,Doctor Strange,677796076,34.3
142,The Sixth Sense,672806432,43.6
143,Man of Steel,668045518,43.6
144,Ice Age: The Meltdown,667094506,29.3
145,Kung Fu Panda 2,665692281,24.8
146,Moana,660349731,37.7
147,Justice League,657926987,34.8
148,Big Hero 6,657869686,33.8
149,Fantastic Beasts: The Crimes of Grindelwald,654855901,24.4
150,Pirates of the Caribbean: The Curse of the Black Pearl,654264015,46.7
151,Star Wars: Episode II - Attack of the Clones,653779970,47.5
152,The Hunger Games: Mockingjay - Part 2,653428261,43.1
153,Thor: The Dark World,644783140,32.0
154,Sing,634338384,42.7
155,Kung Fu Panda,632083197,34.1
156,The Incredibles,631607053,41.4
157,The Martian,630620818,36.2
158,Hancock,629443428,36.2
159,Water Gate Bridge,626571561,0.1
160,Fast Five,626137675,33.5
161,Men in Black 3,624026776,28.7
162,Iron Man 2,623933331,50.1
163,Ratatouille,623726085,33.1
164,Ant-Man and the Wasp,622674139,34.8
165,How to Train Your Dragon 2,621537519,28.5
166,Logan,619179950,36.5
167,The Lost World: Jurassic Park,618638999,37.0
168,Casino Royale,616502912,27.2
169,The Passion of the Christ,612054506,60.6
170,Mamma Mia!,611257819,23.6
171,Life of Pi,609016565,20.5
172,Transformers: The Last Knight,605425157,21.5
173,Madagascar: Escape 2 Africa,603900354,29.8
174,War of the Worlds,603873119,38.8
175,Tangled,592462816,33.9
176,Quantum of Solace,589580482,28.6
177,Men in Black,589390539,42.5
178,The Croods,587235983,31.9
179,The Hangover Part II,586764305,43.4
180,Iron Man,585796247,54.5
181,I Am Legend,585410052,43.8
182,Ready Player One,582918849,23.6
183,"Monsters, Inc.",579707738,50.1
184,Operation Red Sea,579330426,0.3
185,Night at the Museum,574481229,43.7
186,Fifty Shades of Grey,569651467,29.2
187,Kong: Skull Island,566652812,29.7
188,The Smurfs,563749323,25.3
189,Cars 2,559852396,34.2
190,King Kong,556906378,39.2
191,Puss in Boots,554987477,26.9
192,The Mermaid,553810228,0.6
193,Armageddon,553709788,36.4
194,The Day After Tomorrow,552639571,33.8
195,Ted,549368315,39.8
196,American Sniper,547459020,64.0
197,Mission: Impossible II,546388108,39.4
198,Detective Chinatown 2,544185156,0.4
199,X-Men: Apocalypse,543934105,28.6
0,Sherlock Holmes: A Game of Shadows,543848418,34.4
1,Despicable Me,543157985,46.3
2,Cinderella,542358331,37.1
3,Madagascar,542063846,35.7
4,World War Z,540455876,37.5
5,Brave,538983207,44.0
6,Star Wars: Episode V - The Empire Strikes Back,538375067,54.4
7,The Simpsons Movie,536414293,34.1
8,The Revenant,532950503,34.5
9,The Meg,530517320,27.4
10,Ralph Breaks the Internet,529323962,38.0
11,Hotel Transylvania 3: Summer Vacation,528583774,31.7
12,The Boss Baby,527965936,33.2
13,Dunkirk,527016307,36.0
14,Godzilla,524976069,38.2
15,How to Train Your Dragon: The Hidden World,524580592,30.7
16,Sherlock Holmes,524028679,39.9
17,Meet the Fockers,522657936,53.4
18,WALL·E,521311890,42.9
19,Kung Fu Panda 3,521170825,27.5
20,Terminator 2: Judgment Day,520881154,39.5
21,Ant-Man,519311965,34.7
22,The Grinch,512858819,52.9
23,Venom: Let There Be Carnage,506863592,42.1
24,Ghost,505703557,43.0
25,Aladdin,504050219,43.1
26,Rio 2,498781117,26.4
27,Troy,497409852,26.8
28,Toy Story 2,497375381,49.4
29,How to Train Your Dragon,494879471,44.0
30,Twister,494580615,48.9
31,Oz the Great and Powerful,493311825,47.6
32,Clash of the Titans,493214993,33.1
33,Maleficent: Mistress of Evil,491730089,23.2
34,War for the Planet of the Apes,490719763,29.9
35,Shrek,488351320,54.9
36,Mr. & Mrs. Smith,487287646,38.2
37,Angels & Demons,485930816,27.4
38,Teenage Mutant Ninja Turtles,485004754,39.4
39,Bruce Almighty,484592874,50.1
40,Rio,483866518,29.7
41,Saving Private Ryan,482349603,45.0
42,Rise of the Planet of the Apes,481800873,36.7
43,Home Alone,476684675,60.0
44,Jaws,476512065,55.8
45,Hotel Transylvania 2,475186706,35.7
46,Star Wars: Episode VI - Return of the Jedi,475106177,65.1
47,Charlie and the Chocolate Factory,474968763,43.5
48,Indiana Jones and the Last Crusade,474171806,41.6
49,San Andreas,474009154,32.7
50,It Chapter Two,473122525,44.7
51,Wreck-It Ralph,471222889,40.2
52,Godzilla vs. Kong,470067014,21.5
53,The Hangover,469328079,59.1
54,The Lego Movie,468266122,55.1
55,Bumblebee,467989645,27.2
56,Star Trek Into Darkness,467365246,49.0
57,The Matrix,467222728,36.8
58,Gladiator,465380802,40.3
59,Pretty Woman,463406268,38.5
60,Cars,461991867,52.8
61,The Eight Hundred,461421559,0.1
62,X-Men: The Last Stand,460435291,50.9
63,National Treasure: Book of Secrets,459242249,47.9
64,Lucy,458863600,27.6
65,Mission: Impossible,457696391,39.5
66,300,456082343,46.2
67,The Last Samurai,454627263,24.4
68,Dying to Survive,451183391,0.0
69,Ocean's Eleven,450717150,40.7
70,"My People, My Country",450064993,0.5
71,Thor,449326618,40.3
72,Pearl Harbor,449220945,44.2
73,La La Land,449053815,33.6
74,Tarzan,448191819,38.2
75,Demon Slayer the Movie: Mugen Train,447691934,11.1
76,Men in Black II,445135288,43.5
77,The Bourne Ultimatum,444100035,51.2
78,The Mummy Returns,443280904,45.6
79,Alvin and the Chipmunks: The Squeakquel,443140005,49.6
80,Les Misérables,442299309,33.6
81,The Exorcist,441306145,52.8
82,Mrs. Doubtfire,441286195,49.7
83,Terminator Genisys,440603537,20.4
84,Warcraft,439048914,10.8
85,A Star Is Born,436233122,49.4
86,The Greatest Showman,435732529,40.0
87,Terminator 3: Rise of the Machines,433371112,34.7
88,Pokémon Detective Pikachu,433230304,33.3
89,Shang-Chi and the Legend of the Ten Rings,432243292,52.0
90,Die Another Day,431971116,37.3
91,The Secret Life of Pets 2,431058056,36.9
92,Cast Away,429632142,54.4
93,Rampage,428028233,23.6
94,The King's Speech,427374317,32.5
95,The Matrix Revolutions,427344325,32.6
96,The Intouchables,426588510,2.4
97,Bad Boys for Life,426505244,48.4
98,Django Unchained,426074373,38.2
99,Beauty and the Beast,424967620,51.5
100,Dances with Wolves,424208848,43.4
101,"My People, My Homeland",422390820,0.0
102,The Chronicles of Narnia: Prince Caspian,419665568,33.8
103,Sex and the City,418765519,36.4
104,The Captain,417282021,0.2
105,The Mummy,415933406,37.4
106,The Chronicles of Narnia: The Voyage of the Dawn Treader,415686217,25.1
107,Jason Bourne,415484914,39.1
108,The Wolverine,414828246,32.0
109,Kingsman: The Secret Service,414351546,31.0
110,Night at the Museum: Battle of the Smithsonian,413106170,42.9
111,Batman,411569241,61.1
112,The Bodyguard,411046449,29.7
113,Pacific Rim,411002906,24.8
114,Kingsman: The Golden Circle,410902662,24.4
115,The Mummy,409231607,19.6
116,Ice Age: Collision Course,408754975,15.7
117,Twilight,408430415,47.5
118,Signs,408247917,55.8
119,X2: X-Men United,407711549,52.7
120,The Wolf of Wall Street,406878233,28.7
121,Sing 2,406634822,40.0
122,Fantastic Beasts: The Secrets of Dumbledore,405161334,23.7
123,Alita: Battle Angel,404980543,21.2
124,The Mummy: Tomb of the Dragon Emperor,403449830,25.4
125,Prometheus,403354469,31.4
126,Gone with the Wind,402382193,49.9
127,Mamma Mia! Here We Go Again,402264843,30.0
128,Eternals,402064899,41.0
129,Sonic the Hedgehog 2,401872904,47.5
130,Dune,401847900,27.0
131,Uncharted,401748820,37.0
132,TRON: Legacy,400063852,43.0
133,Mission: Impossible III,398479497,33.6
134,Snow White and the Huntsman,396592829,39.2
135,Grease,396271103,48.0
136,Toy Story,394436586,56.6
137,Solo: A Star Wars Story,392924807,54.4
138,Superman Returns,391081192,51.2
139,Robin Hood: Prince of Thieves,390493908,42.4
140,Indiana Jones and the Raiders of the Lost Ark,389925971,63.6
141,Independence Day: Resurgence,389681935,26.5
142,Live Free or Die Hard,388156011,34.7
143,Monster Hunt,387053506,0.1
144,Godzilla: King of the Monsters,386600138,28.6
145,Home,386041607,46.0
146,Star Trek,385680446,66.8
147,1917,384938032,41.4
148,Happy Feet,384336108,51.5
149,Cars 3,383930656,39.8
150,Back to the Future,383336762,55.5
151,Ice Age,383257136,46.0
152,Fifty Shades Darker,381545846,30.0
153,Monsters vs. Aliens,381509870,52.0
154,Black Widow,379751655,48.4
155,Godzilla,379014294,36.0
156,True Lies,378882411,38.6
157,Slumdog Millionaire,378410542,37.4
158,Taken 2,376152455,37.2
159,G.I. Joe: Retaliation,375740705,32.6
160,Mad Max: Fury Road,375709470,41.0
161,Spider-Man: Into the Spider-Verse,375540831,50.7
162,Shark Tale,374583879,42.9
163,Once Upon a Time in Hollywood,374565754,38.0
164,What Women Want,374111707,48.9
165,The Adventures of Tintin,373993951,20.8
166,Batman Begins,373672993,55.4
167,Penguins of Madagascar,373515621,22.4
168,X-Men Origins: Wolverine,373062864,48.2
169,The Golden Compass,372234864,18.8
170,Fifty Shades Freed,371985018,27.0
171,Hitch,371594210,48.3
172,Terminator Salvation,371353001,33.8
173,Captain America: The First Avenger,370569774,47.7
174,Edge of Tomorrow,370541256,27.0
175,There's Something About Mary,369884651,47.7
176,Gone Girl,369330363,45.4
177,The Fugitive,368875760,49.8
178,Jurassic Park III,368780809,49.1
179,My Big Fat Greek Wedding,368744044,65.5
180,Hello Mr. Billionaire,366961907,0.0
181,Die Hard with a Vengeance,366101666,27.3
182,Shazam!,366080049,38.4
183,The Nun,365582797,32.1
184,Alvin and the Chipmunks,365352546,59.5
185,Tenet,365294355,16.0
186,Notting Hill,363889678,31.9
187,A Bug's Life,363258859,44.8
188,Night at the Museum: Secret of the Tomb,363204635,31.3
189,Ocean's Twelve,362744280,34.6
190,Planet of the Apes,362211740,49.7
191,The Hangover Part III,362000072,31.0
192,The World Is Not Enough,361832400,35.1
193,Monster Hunt 2,361682618,0.2
194,Fast & Furious,360366870,43.0
195,Noah,359200044,28.2
196,The Karate Kid,359126022,49.2
197,Home Alone 2: Lost in New York,358994850,48.4
198,Hotel Transylvania,358375603,41.4
199,Minority Report,358372926,36.8
0,Your Name.,358180115,1.4
1,Top Gun,357288178,50.4
2,The Legend of Tarzan,356700357,35.5
3,American Beauty,356296601,36.5
4,Spirited Away,355725195,3.9
5,Apollo 13,355237933,48.9
6,Rain Man,354825435,48.7
7,The Great Gatsby,353659851,41.0
8,Dumbo,353284621,32.5
9,"I, Robot",353133898,41.0
10,Basic Instinct,352927224,33.4
11,Murder on the Orient Express,352794081,29.2
12,X-Men: First Class,352616690,41.5
13,The Angry Birds Movie,352333929,30.5
14,GoldenEye,352194034,30.2
15,Catch Me If You Can,352114312,46.8
16,Now You See Me,351723989,33.5
17,Hannibal,351692268,46.9
18,The Mask,351583407,34.1
19,Peter Rabbit,351496066,32.8
20,Speed,350448145,34.6
21,Dinosaur,349822765,39.4
22,Mary Poppins Returns,349546142,49.2
23,Deep Impact,349464664,40.2
24,The Lorax,349183316,61.4
25,The Maze Runner,348319861,29.4
26,The Smurfs 2,347545360,20.4
27,National Treasure,347512318,49.8
28,Rush Hour 2,347325802,65.1
29,Trolls,347182886,44.4
30,xXx: Return of Xander Cage,346118277,13.0
31,Pocahontas,346079773,40.9
32,How the Grinch Stole Christmas,345823032,75.4
33,Star Trek Beyond,343471816,46.2
34,Alvin and the Chipmunks: Chipwrecked,342695435,38.8
35,Wanted,342463063,39.3
36,The Flintstones,341631208,38.2
37,A Quiet Place,340952971,55.2
38,Enchanted,340487836,37.5
39,Over the Hedge,339795890,45.6
40,300: Rise of an Empire,337580051,31.6
41,Batman Forever,336567158,54.7
42,Prince of Persia: The Sands of Time,336365676,27.0
43,The Curious Case of Benjamin Button,335802786,38.0
44,Journey 2: The Mysterious Island,335287748,31.0
45,The Rock,335062621,40.0
