,Movie,Worldwide Lifetime Gross / US$,% Gross in US
101,American Reunion,234989584,24.3
102,Big Daddy,234801895,69.6
103,Alvin and the Chipmunks: The Road Chip,234798636,36.6
104,The Imitation Game,233555708,39.0
105,Cruella,233503234,36.9
106,The Day the Earth Stood Still,233093859,34.0
107,American Wedding,232722935,44.9
108,The Girl with the Dragon Tattoo,232617430,44.1
109,Juno,232372681,61.8
110,Argo,232325503,58.6
111,Mr. Bean's Holiday,232225908,14.3
112,The English Patient,231976425,33.9
113,Sister Act,231605150,60.3
114,Annabelle Comes Home,231252591,32.1
115,Constantine,230884728,32.9
116,Get Smart,230685453,56.5
117,Space Jam,230594962,39.3
118,Life Is Beautiful,230098753,25.0
119,The Heat,229930771,69.4
120,Ghostbusters,229147509,56.0
121,Ghost Rider,228738393,50.6
122,Goodbye Mr. Loser,228122928,0.6
123,Paddington 2,227994792,17.9
124,Sleepless in Seattle,227927165,55.6
125,Lethal Weapon 2,227853986,64.6
126,The Green Hornet,227817248,43.4
127,Out of Africa,227514205,38.3
128,Youth,227091290,0.8
129,Baby Driver,226945087,47.5
130,Immortals,226904017,36.8
131,Taken,226837760,63.9
132,Percy Jackson & the Olympians: The Lightning Thief,226497209,39.2
133,Lightyear,226425420,52.2
134,Hansel & Gretel: Witch Hunters,226349749,24.6
135,Valerian and the City of a Thousand Planets,225973340,18.2
136,Good Will Hunting,225933435,61.3
137,Better Days,225918798,0.8
138,Ford v Ferrari,225508210,52.2
139,Jumper,225132113,35.6
140,Elf,225097437,79.0
141,The Social Network,224920375,43.1
142,Chicken Run,224874811,47.5
143,Con Air,224012234,45.1
144,Interview with the Vampire: The Vampire Chronicles,223664608,47.1
145,Flightplan,223387299,40.2
146,Yes Man,223241637,43.8
147,Non-Stop,222809600,41.4
148,"Honey, I Shrunk the Kids",222724172,58.7
149,Fahrenheit 9/11,222446882,53.6
150,Wild Wild West,222104681,51.2
151,"My Country, My Parents",221831086,0.1
152,Geostorm,221600160,15.2
153,Presumed Innocent,221303188,39.0
154,Jungle Cruise,220889446,53.0
155,Scary Movie 3,220673217,49.8
156,Collateral,220239925,45.9
157,Inferno,220021259,15.6
158,Knocked Up,219922417,67.6
159,Green Lantern,219851172,53.0
160,What Happens in Vegas,219375562,36.6
161,It's Complicated,219103655,51.4
162,The Terminal,219100084,35.5
163,Captain Phillips,218791811,49.0
164,The Prince of Egypt,218613188,46.4
165,Jack Reacher,218340595,36.7
166,Kingdom of Heaven,218122627,21.7
167,The Emoji Movie,217776646,39.5
168,Too Cool to Kill,217254604,0.1
169,Dracula Untold,217124280,25.9
170,Central Intelligence,216972543,58.7
171,Million Dollar Baby,216763646,46.4
172,The Help,216639112,78.3
173,Twins,216614388,51.7
174,Little Women,216601214,49.9
175,Valentine's Day,216528528,51.0
176,Bad Teacher,216197492,46.4
177,A Little Red Flower,216000000,0.0
178,The Croods: A New Age,215905815,27.1
179,Clear and Present Danger,215887717,56.6
180,One Hundred and One Dalmatians,215880014,67.1
181,Ted 2,215863606,37.7
182,Dracula,215862692,38.2
183,Vertical Limit,215663859,32.1
184,Ghostbusters II,215394738,52.2
185,The Patriot,215294342,52.6
186,The Sorcerer's Apprentice,215283742,29.3
187,Just Go with It,214945591,47.9
188,The Expendables 3,214657577,18.3
189,Dirty Dancing,214577242,30.1
190,Creed II,214215889,54.0
191,Smallfoot,214115531,38.9
192,Public Enemies,214104620,45.4
193,The Bourne Identity,214034224,56.8
194,Disclosure,214015089,38.8
195,Pulp Fiction,213928762,50.4
196,The Aviator,213719942,48.0
197,"Crouching Tiger, Hidden Dragon",213525736,60.0
198,Braveheart,213216216,35.5
199,Into the Woods,212902372,60.1
0,Bedtime Stories,212874864,51.7
1,Miss Congeniality,212742720,50.2
2,Entrapment,212404396,41.3
3,Ace Ventura: When Nature Calls,212385533,51.0
4,End of Days,211989043,31.6
5,Bridget Jones's Baby,211952420,11.4
6,Fury,211822697,40.5
7,Battle Los Angeles,211819354,39.4
8,Australia,211787511,23.4
9,Due Date,211780824,47.5
10,Master and Commander: The Far Side of the World,211622535,44.4
11,A Series of Unfortunate Events,211468235,56.1
12,The Little Mermaid,211343479,52.8
13,Nice View,211019042,0.0
14,District 9,210888950,54.8
15,Moonraker,210308099,33.4
16,The Others,209947037,46.0
17,Horrible Bosses,209838559,56.0
18,Us and Them,209221380,0.0
19,Red Dragon,209196298,44.5
20,Tomorrowland,209035668,44.7
21,Me Before You,208314186,27.0
22,Safe House,208076205,60.7
23,S.W.A.T.,207725639,56.3
24,The Fast and the Furious,207517509,69.8
25,Traffic,207515725,59.8
26,Paranormal Activity 3,207039844,50.2
27,Philadelphia,206678440,37.5
28,The Conjuring: The Devil Made Me Do It,206401480,31.8
29,Sleepy Hollow,206071502,49.0
30,The Holiday,205850134,30.7
31,The Jungle Book,205843612,68.9
32,Raging Fire,205842393,0.2
33,London Has Fallen,205754447,30.4
34,The Break-Up,205668210,57.7
35,Journey to the West,205637183,0.1
36,The Ugly Truth,205599393,43.2
37,JFK,205405498,34.3
38,White House Down,205366737,35.6
39,Birds of Prey,205322941,41.0
40,A Dog's Purpose,205035819,31.5
41,Ponyo,204826668,7.7
42,Fun with Dick and Jane,204681899,53.9
43,Eat Pray Love,204594016,39.4
44,Ghostbusters: Afterlife,204334455,63.3
45,You Don't Mess with the Zohan,204313400,49.0
46,The Addams Family,203785209,49.4
47,Hairspray,203627753,58.4
48,King Arthur,203567857,25.5
49,Yogi Bear,203509374,49.3
50,Everest,203427584,21.4
51,Vanilla Sky,203388341,49.5
52,Arrival,203388186,49.4
53,Need for Speed,203277636,21.4
54,Garfield,203172417,37.1
55,Patch Adams,202292902,66.8
56,Teenage Mutant Ninja Turtles,202084756,67.0
57,DC League of Super-Pets,202010172,46.1
58,Kindergarten Cop,201957688,45.3
59,Straight Outta Compton,201634991,80.0
60,21 Jump Street,201585328,68.7
61,Valkyrie,201545517,41.2
62,Open Season,200811689,42.4
63,Cats & Dogs,200687492,46.5
64,The Hunt for Red October,200512643,60.8
65,Percy Jackson: Sea of Monsters,199850315,34.3
66,Two Weeks Notice,199043471,46.9
67,RED,199006387,45.4
68,Shock Wave 2,198921659,0.0
69,City of Angels,198685114,39.6
70,The Pacifier,198636868,56.9
71,50 First Dates,198520934,60.9
72,Total Recall,198467168,29.7
73,The Island,198326350,0.3
74,The Impossible,198087212,9.6
75,Lost in Thailand,197757387,0.1
76,Christopher Robin,197744377,50.2
77,Jack the Giant Slayer,197687603,33.0
78,Smurfs: The Lost Village,197183546,22.8
79,Chinese Doctors,197143218,0.0
80,Spy Kids 3: Game Over,197101678,56.7
81,Panic Room,197079546,48.9
82,The Other Woman,196710396,42.7
83,Stargate,196567262,36.4
84,Beowulf,196393745,41.9
85,The Vow,196114570,63.8
86,Anger Management,195745823,69.3
87,Tropic Thunder,195702963,56.5
88,The Shape of Water,195333312,32.7
89,Rocketman,195320400,49.3
90,The Pelican Brief,195268056,51.6
91,The BFG,195243411,28.4
92,The Intern,194564672,38.9
93,Wallace & Gromit: The Curse of the Were-Rabbit,194137091,28.9
94,Gnomeo & Juliet,193967670,51.5
95,The Sum of All Fears,193921372,61.3
96,Gangs of New York,193772504,40.2
97,The Monkey King 2,193678298,0.4
98,Paranormal Activity,193355800,55.8
99,Weathering with You,193348466,4.2
100,The Lego Movie 2: The Second Part,192456290,55.0
101,The Equalizer,192330738,52.8
102,Downton Abbey,192199131,50.4
103,Sheep Without a Shepherd,191602146,0.0
104,The Addams Family,191502426,59.3
105,The Longest Yard,191466556,82.6
106,The Lost City,190844029,55.2
107,The Santa Clause,190539357,76.4
108,Cheaper by the Dozen,190538630,72.8
109,The Equalizer 2,190400157,53.6
110,Hollow Man,190213455,38.5
111,Outbreak,189859560,35.6
112,The White Storm 2: Drug Lords,189396380,0.3
113,The X Files,189176423,44.4
114,Breakup Buddies,189017596,0.4
115,Rambo III,189015611,28.4
116,The Secret Life of Walter Mitty,188133322,31.0
117,Project Gutenberg,188116796,0.0
118,Jaws 2,187884007,43.5
119,12 Years a Slave,187733202,30.2
120,Heat,187436818,36.0
121,Mr. Popper's Penguins,187361754,36.4
122,The Grudge,187281115,58.9
123,I Now Pronounce You Chuck & Larry,187134117,64.2
124,The Horse Whisperer,186883563,40.3
125,Walk the Line,186797986,64.0
126,Jian Bing Man,186699768,0.0
127,The Jungle Book 2,186303759,25.7
128,The Final Destination,186167139,35.7
129,Atlantis: The Lost Empire,186053725,45.2
130,Inside Man,186003591,47.6
131,The Waterboy,185991646,86.8
132,Hugo,185770310,39.8
133,Pitch Perfect 3,185400345,56.6
134,Watchmen,185382813,58.0
135,The Birdcage,185260553,67.0
136,Moulin Rouge!,184935320,31.0
137,Snow White and the Seven Dwarfs,184925486,100.0
138,Hop,184367145,58.8
139,Bad Moms,183936074,61.6
140,Jupiter Ascending,183887723,25.8
141,Knowing,183658498,43.5
142,102 Dalmatians,183611771,36.5
143,Storks,183510278,39.7
144,Stand by Me Doraemon,183442714,0.0
145,Paul Blart: Mall Cop,183348429,79.8
146,Wayne's World,183097323,66.5
147,Maverick,183031272,55.5
148,Mirror Mirror,183018522,35.5
149,The Man in the Iron Mask,182968902,31.1
150,Cape Fear,182291969,43.4
151,The Haunted Mansion,182290266,41.6
152,The Monkey King Havoc in Heavens Palace,182206924,0.0
153,While You Were Sleeping,182057016,44.5
154,The Bridges of Madison County,182016617,39.3
155,From Vegas to Macau III,181732879,0.0
156,Poseidon,181674817,33.4
157,The First Wives Club,181489203,58.1
158,Cliff Walkers,181325565,0.1
159,Scooby-Doo 2: Monsters Unleashed,181239132,46.5
160,Hot Shots!,181096164,38.4
161,Road to Perdition,181001478,57.7
162,Kill Bill: Vol. 1,180906076,38.8
163,Abominable,180734901,33.9
164,The Scorpion King,180630907,50.4
165,Sweet Home Alabama,180622424,70.4
166,Daddy's Home 2,180613824,57.6
167,Hacksaw Ridge,180563636,37.2
168,Deja Vu,180557550,35.5
169,The Post,180419276,45.4
170,Dangerous Minds,179519401,47.3
171,The Dictator,179379533,33.2
172,The League of Extraordinary Gentlemen,179265204,37.1
173,Allegiant,179246868,36.9
174,Daredevil,179179718,57.2
175,City Slickers,179033791,69.3
176,He's Just Not That Into You,178866158,52.5
177,Eagle Eye,178767383,56.7
178,Along Came Polly,178311729,49.4
179,Flushed Away,178281554,36.3
180,Scary Movie 4,178262620,50.9
181,Dante's Peak,178127760,37.7
182,Brokeback Mountain,178062759,46.6
183,Patriot Games,178051587,46.8
184,Flubber,177977226,52.2
185,Baywatch,177856751,32.6
186,Double Jeopardy,177841558,65.6
187,War Horse,177584879,45.0
188,Paranormal Activity 2,177512032,47.7
189,How to Lose a Guy in 10 Days,177502387,59.6
190,Alien vs. Predator,177427090,45.2
191,Hero,177395557,30.3
192,The 40-Year-Old Virgin,177378645,61.7
193,The Butler,177313795,65.8
194,The Haunting,177311151,51.6
195,The Descendants,177243185,46.6
196,The A-Team,177238796,43.6
197,Tootsie,177200271,100.0
198,In the Line of Fire,176997168,57.8
199,Analyze This,176885658,60.4
