,Movie,RottenT_Rating
1959,The Sisters Brothers,7.5
1960,Indivisible,6.5
1961,Suspiria,6.9
1962,Hummus! The Movie,6.4
1963,Letters From Baghdad,7.0
1964,The Girl In The Spider'S Web,5.4
1965,Overlord,6.9
1966,Lu Over The Wall,6.6
1967,Rodents Of Unusual Size,7.9
1968,Piercing,6.6
1969,Postcards From London,6.1
1970,The Guilty,8.0
1971,Black '47,6.9
1972,Venom,4.8
1973,The Unicorn,7.4
1974,Just A Breath Away (Dans La Brume),5.5
1975,Braid,7.5
1976,Nobody'S Fool,4.7
1977,Slice,5.6
1978,Antiquities,7.3
1979,The Death Of Superman / Reign Of The Supermen Double Feature,7.0
1980,Dear Ex,6.4
1981,Velvet Buzzsaw,6.3
1982,The Hole In The Ground,6.4
1983,Painkillers,6.1
1984,Lifechanger,6.8
1985,Goosebumps 2: Haunted Halloween,5.6
1986,Halloween,7.0
1987,First Man,8.1
1988,The Hate U Give,8.2
1989,Mobile Homes,6.2
1990,Don'T Come Back From The Moon,6.9
1991,Pick Of The Litter,7.4
1992,The Rape Of Recy Taylor,7.4
1993,The Bookshop,5.7
1994,El ÃLtimo Traje,7.2
1995,Madeline'S Madeline,7.8
1996,The Old Man & The Gun,7.7
1997,Johnny English Strikes Again,5.0
1998,The Apparition,6.5
1999,Kin,5.2
2000,Here And Now (Blue Night),5.3
2001,Burning,8.6
2002,King Of Thieves,5.1
2003,Jonathan,6.4
2004,Egg,7.7
2005,All These Small Moments,6.7
2006,The Standoff At Sparrow Creek,7.3
2007,Soni,6.6
2008,Renegades,4.1
2009,Speed Kills,2.9
2010,Once Upon A Deadpool,6.2
2011,I Hate Kids,4.1
2012,Dead Ant,5.5
2013,Heartlock,4.0
2014,Close,5.8
2015,Polar,3.5
2016,Blindspotting,8.3
2017,Io,5.5
2018,Stay Human,6.7
2019,Revenger,4.5
2020,The Predator,5.2
2021,Marie Curie,5.3
2022,White Boy Rick,6.3
2023,Scarred Hearts,8.1
2024,Sacred,8.2
2025,Smallfoot,6.5
2026,The House That Jack Built,6.2
2027,Scaffolding,7.0
2028,Memoir Of War,6.8
2029,The House With A Clock In Its Walls,6.2
2030,Outlaw King,6.4
2031,Christopher Robin,6.4
2032,Assassination Nation,6.9
2033,Lizzie,6.2
2034,Colette,7.4
2035,The Rainbow Experiment,6.2
2036,A Simple Favor,7.1
2037,Welcome Home,3.9
2038,I Still See You,3.5
2039,Little Women,5.2
2040,Unbroken: Path To Redemption,5.5
2041,1985,7.7
2042,Fahrenheit 11/9,7.2
2043,Maine,7.4
2044,Await Further Instructions,6.9
2045,The Super,5.6
2046,Air Strike,4.3
2047,River Runs Red,3.5
2048,The Go-Getters,6.9
2049,Bird Box,6.1
2050,The Spy Who Dumped Me,5.5
2051,Springsteen On Broadway,9.2
2052,When Jeff Tried To Save The World,7.0
2053,Hunter Killer,5.1
2054,Wildlife,7.8
2055,Night School,4.7
2056,The Rider,8.5
2057,Bad Times At The El Royale,6.9
2058,Hell Fest,5.5
2059,Eating Animals,7.1
2060,What They Had,7.3
2061,Far From The Tree,7.5
2062,Bad Reputation,6.5
2063,Monsters And Men,7.2
2064,Nothing Like A Dame,7.9
2065,Spiral,7.8
2066,People'S Republic Of Desire,7.9
2067,A-X-L,4.1
2068,An Evening With Beverly Luff Linn,5.8
2069,Mid90S,7.2
2070,State Like Sleep,5.8
2071,The Dark,6.5
2072,Alone (Solo),5.6
2073,Buffalo Boys,6.5
2074,The Oath,6.4
2075,Pledge,6.7
2076,The Bouncer,5.8
2077,Ashes In The Snow,5.3
2078,American Hangman,6.6
2079,Sgt. Will Gardner,5.1
2080,Rockaway,5.7
2081,Outlaws,4.9
2082,Godzilla: The Planet Eater,5.0
2083,The Last Laugh,5.6
2084,As If I Am Not There,6.4
2085,Mowgli: Legend Of The Jungle,5.9
2086,Mission: Impossible -- Fallout,8.4
2087,Mandy,7.7
2088,22-Jul,7.1
2089,The Happytime Murders,4.1
2090,The Nun,4.6
2091,God Bless The Broken Road,4.6
2092,Sgt. Stubby: An American Hero,7.0
2093,Where Hands Touch,5.6
2094,Newly Single,7.0
2095,Clara'S Ghost,6.6
2096,Tyrel,6.7
2097,The Miseducation Of Cameron Post,7.7
2098,Hotel Transylvania 3: Summer Vacation,5.6
2099,Beautifully Broken,5.8
2100,What Keeps You Alive,6.9
2101,Back Roads,5.8
2102,Mcqueen,7.9
2103,Leave No Trace,8.6
2104,The American Meme,7.0
2105,United We Fan,7.9
2106,Swimming With Men,5.2
2107,Viking Destiny,3.7
2108,Divide And Conquer: The Story Of Roger Ailes,7.4
2109,The Meg,5.5
2110,Asher,6.9
2111,Dumplin',6.7
2112,You Might Be The Killer,5.8
2113,Hospitality,5.2
2114,Bob Lazar: Area 51 & Flying Saucers,5.0
2115,The Little Stranger,6.7
2116,The Domestics,7.2
2117,Driverx,4.2
2118,Anchor And Hope,6.7
2119,Crazy Rich Asians,7.8
2120,Skate Kitchen,7.4
2121,Searching,7.6
2122,Time Share,7.7
2123,The Long Dumb Road,6.6
2124,Dog Days,5.6
2125,The Tribe,5.2
2126,Number 37,7.3
2127,Jinn,8.0
2128,Luciferina,6.7
2129,A Christmas Prince: The Royal Wedding,5.0
2130,Blood Brother,3.6
2131,The World Is Yours,7.2
2132,Happy As Lazzaro,7.9
2133,Cam,7.4
2134,The Ballad Of Buster Scruggs,7.9
2135,The Christmas Chronicles,6.1
2136,The Delinquent Season,5.5
2137,May The Devil Take You,5.5
2138,Rajma Chawal,5.2
2139,The Princess Switch,6.0
2140,Papillon,6.0
2141,Private Life,7.8
2142,Without Name,6.5
2143,Alpha,6.7
2144,Death House,6.1
2145,Claire'S Camera,7.6
2146,The Third Murder,7.2
2147,The Children Act,6.9
2148,Jurassic World: Fallen Kingdom,5.7
2149,Gauguin: Voyage To Tahiti,4.9
2150,Itzhak,7.4
2151,Destination Wedding,5.5
2152,"Juliet, Naked",7.0
2153,Blackkklansman,8.4
2154,We The Animals,7.8
2155,Time Trap,6.2
2156,Final Score,5.3
2157,The New Romantic,6.3
2158,In A Relationship,6.9
2159,An Interview With God,6.4
2160,Every Act Of Life,7.1
2161,The Reckoning: Hollywood'S Worst Kept Secret,7.9
2162,The Last Sharknado: It'S About Time,4.6
2163,Mara,4.8
2164,Lasso,6.3
2165,Lez Bomb,7.5
2166,Intensive Care,5.2
2167,Pimp,7.0
2168,Swiped,3.1
2169,The Heretics,6.5
2170,Patient Zero,4.0
2171,Incredibles 2,7.9
2172,Mile 22,4.4
2173,God Knows Where I Am,7.1
2174,Butterfly Kisses,7.8
2175,The Darkest Minds,4.4
2176,Teen Titans Go! To The Movies,7.4
2177,Ocean'S 8,6.4
2178,Shirkers,8.4
2179,A Whale Of A Tale,6.8
2180,Dovlatov,6.1
2181,The Bill Murray Stories: Life Lessons Learned From A Mythical Man,7.1
2182,Mario,6.8
2183,Daughters Of The Sexual Revolution: The Untold Story Of The Dallas Cowboys Cheerleaders,7.9
2184,Unlovable,7.8
2185,Thunder Road,7.8
2186,Our House,6.6
2187,Wild Honey Pie,4.3
2188,Solis,4.6
2189,The Other Side Of The Wind,7.5
2190,They'Ll Love Me When I'M Dead,7.8
2191,Stella'S Last Weekend,6.3
2192,Killer Kate!,5.8
2193,Welcome To Mercy,6.9
2194,Been So Long,6.9
2195,Adam Sandler: 100% Fresh,7.8
2196,Monster Party,6.3
2197,The Holiday Calendar,5.0
2198,John Leguizamo'S Latin History For Morons,7.0
2199,The Night Comes For Us,7.7
2200,Avengers: Infinity War,7.8
2201,The Forest Of The Lost Souls,6.9
2202,Mamma Mia! Here We Go Again,6.6
2203,Unfriended: Dark Web,6.1
2204,A Prayer Before Dawn,7.6
2205,Longing,6.5
2206,Angels Wear White,7.7
2207,55 Steps,6.8
2208,Transformer,7.6
2209,The Sentence,7.0
2210,The Devil We Know,8.0
2211,The Kindergarten Teacher,7.6
2212,A Kid Like Jake,6.3
2213,Errementari: The Blacksmith And The Devil,6.2
2214,Whitney,7.5
2215,Hotel Artemis,6.1
2216,A Band Called Impaled Rektum,7.6
2217,All Square,6.7
2218,Catwalk: Tales From The Cat Show Circuit,6.5
2219,After Everything,7.5
2220,Down A Dark Hall,5.6
2221,Arizona,6.0
2222,Reprisal,2.7
2223,Apostle,6.9
2224,Better Start Running,6.5
2225,Invisible Essence: The Little Prince,8.2
2226,Brampton'S Own,5.8
2227,Change In The Air,4.5
2228,Malevolent,5.8
2229,Feminists: What Were They Thinking?,7.8
2230,Gotti,2.7
2231,First Reformed,8.4
2232,Domain,6.3
2233,Hot Summer Nights,5.8
2234,Ready Player One,7.0
2235,Rodin,5.1
2236,The Healer,4.3
2237,"Don'T Worry, He Won'T Get Far On Foot",6.8
2238,Eighth Grade,8.8
2239,After Louie,6.4
2240,The Song Of Sway Lake,6.2
2241,The Catcher Was A Spy,5.7
2242,Loving Pablo,5.2
2243,Pin Cushion,7.5
2244,Sollers Point,7.0
2245,Ramen Heads,5.7
2246,The Seagull,6.3
2247,Three Identical Strangers,8.3
2248,Maximum Impact,3.3
2249,At First Light,6.4
2250,The 12Th Man,6.6
2251,Occupation,5.3
2252,The Death Of Superman,8.0
2253,Blue Iguana,4.9
2254,Tales From The Hood 2,6.7
2255,Cruise,4.9
2256,Little Italy,4.1
2257,7 Days In Entebbe,5.1
2258,Quincy,6.8
2259,Hold The Dark,6.7
2260,Extremity,8.0
2261,Nappily Ever After,6.5
2262,Sicario: Day Of The Soldado,6.6
2263,The First Purge,5.7
2264,Billionaire Boys Club,4.1
2265,Uncle Drew,6.1
2266,The Gardener,7.5
2267,Susanne Bartsch: On Top,7.8
2268,The Basement,4.1
2269,Hearts Beat Loud,7.4
2270,Damsel,6.8
2271,"Love, Gilda",7.6
2272,White Rabbit,7.6
2273,I Think We'Re Alone Now,6.6
2274,Superfly,5.5
2275,Tag,5.7
2276,A Wizard'S Tale,3.8
2277,That Summer,7.0
2278,Don'T Leave Home,6.8
2279,Gonjiam: Haunted Asylum,6.4
2280,Distorted,5.0
2281,Siberia,4.3
2282,Bleach,6.1
2283,Age Of Summer,6.0
2284,The Land Of Steady Habits,7.1
2285,E-Demon,6.0
2286,Lost Child,5.4
2287,The Angel,7.0
2288,Reversing Roe,7.8
2289,Cold Skin,6.3
2290,Found Footage,8.0
2291,Western,8.0
2292,Woman Walks Ahead,6.2
2293,The Guardians,7.6
2294,Won'T You Be My Neighbor?,8.8
2295,Dark River,6.7
2296,Rbg,7.6
2297,Sierra Burgess Is A Loser,6.0
2298,City Of Joy,8.6
2299,The Little Vampire,3.8
2300,Hostile,6.7
2301,American Animals,7.8
2302,Flower,6.0
2303,Hereditary,8.3
2304,Upgrade,7.5
2305,Book Club,5.6
2306,Blood Fest,6.5
2307,The Laws Of Thermodynamics,4.3
2308,American Circumcision,7.5
2309,Venus,6.8
2310,Damascus Cover,4.5
2311,Luis And The Aliens,4.1
2312,Boarding School,5.9
2313,An Actor Prepares,5.7
2314,A Crooked Somebody,7.5
2315,Paterno,7.5
2316,Next Gen,5.7
2317,Alright Now,4.3
2318,The Most Assassinated Woman In The World,6.3
2319,How To Talk To Girls At Parties,5.6
2320,The Yellow Birds,5.8
2321,Deadpool 2,7.2
2322,Action Point,4.1
2323,God'S Not Dead: A Light In Darkness,4.0
2324,Show Dogs,3.4
2325,Shock And Awe,4.9
2326,Mary Shelley,5.7
2327,Bad Samaritan,5.6
2328,Adrift,6.4
2329,Bleeding Steel,3.6
2330,The Escape,6.4
2331,The Motive,6.8
2332,Black Water,3.8
2333,In Darkness,5.0
2334,Furlough,7.9
2335,Elizabeth Harvest,6.4
2336,Puppet Master: The Littlest Reich,6.5
2337,Breaking & Exiting,5.2
2338,To All The Boys I'Ve Loved Before,7.3
2339,Midnight Sun,4.4
2340,Hope Springs Eternal,6.1
2341,I Am Vengeance,4.6
2342,What Still Remains,6.6
2343,The Package,5.1
2344,Tell Me Your Name,4.6
2345,Snapshots,6.3
2346,The After Party,3.9
2347,Let Fury Have The Hour,5.4
2348,Dark Crimes,3.3
2349,Little Pink House,6.7
2350,The Keeping Hours,8.8
2351,Life Of The Party,5.3
2352,"Lou Andreas-Salomã, The Audacity To Be Free",6.6
2353,Dream Big: Engineering Our World,7.2
2354,Final Portrait,6.7
2355,Loveless,8.4
2356,Extinction,4.5
2357,Aardvark,4.0
2358,Tully,7.6
2359,Wonderstruck,6.8
2360,Applecart,5.8
2361,Kings,4.1
2362,On Chesil Beach,6.6
2363,Overboard,4.5
2364,12 Strong,5.9
2365,The Guernsey Literary And Potato Peel Pie Society,6.4
2366,Lowlife,7.5
2367,The Miracle Season,6.1
2368,Revenge,7.7
2369,Marrowbone,5.5
2370,Night Comes On,7.8
2371,Wildling,6.3
2372,Breaking In,4.8
2373,The Bleeding Edge,7.5
2374,The Con Is On,4.2
2375,Ghostland,6.0
2376,14 Cameras,4.8
2377,Rock Rubber 45S,7.0
2378,Like Father,5.6
2379,Flavors Of Youth,5.5
2380,Killer Bees,7.5
2381,Iliza: Elder Millennial,6.5
2382,Carter & June,4.5
2383,Super Troopers 2,5.0
2384,Lean On Pete,7.9
2385,Chappaquiddick,7.2
2386,Isle Of Dogs,8.1
2387,The Leisure Seeker,5.4
2388,Future World,3.3
2389,Wolfcop Ii,5.4
2390,Where Is Kyra?,6.7
2391,Blumhouse'S Truth Or Dare,4.0
2392,You Were Never Really Here,8.3
2393,Love After Love,7.7
2394,Maze Runner: The Death Cure,5.4
2395,A Ciambra,7.5
2396,A Quiet Place,8.2
2397,Disobedience,7.3
2398,Moss,4.4
2399,I Feel Pretty,5.4
2400,Modern Life Is Rubbish,5.0
2401,Ruin Me,6.5
2402,Traffik,4.2
2403,Krystal,3.8
2404,Who'S Watching Oliver,6.6
2405,White Fang,7.2
2406,Operation Red Sea,8.0
2407,The Legacy Of A Whitetail Deer Hunter,6.0
2408,The Night Eats The World,7.3
2409,Rampage,5.6
2410,Hover,5.5
2411,211,3.0
2412,The Devil'S Doorway,6.5
2413,Father Of The Year,3.6
2414,Jim Gaffigan: Noble Ape,8.3
2415,Brain On Fire,5.0
2416,Borg Vs. Mcenroe,6.7
2417,Gemini,6.3
2418,The Endless,7.6
2419,Ismael'S Ghosts,5.7
2420,The Female Brain,5.0
2421,A Skin So Soft,6.8
2422,Mrs. Hyde,6.5
2423,The Death Of Stalin,8.1
2424,Back To Burgundy,6.2
2425,Wetlands,6.0
2426,Acrimony,3.8
2427,"Paul, Apostle Of Christ",5.8
2428,Unsane,6.9
2429,Tau,4.9
2430,Spinning Man,5.6
2431,Terminal,4.7
2432,Escape Plan 2: Hades,2.7
2433,Us And Them,6.0
2434,Recovery Boys,8.9
2435,Hannah Gadsby: Nanette,9.2
2436,"To Each, Her Own",5.0
2437,Calibre,7.4
2438,W. Kamau Bell: Private School Negro,8.5
2439,King Of Hearts,7.9
2440,Sherlock Gnomes,4.7
2441,A Wrinkle In Time,5.6
2442,Thoroughbreds,7.4
2443,Tomb Raider,5.8
2444,Paddington 2,8.7
2445,Bernard And Huey,6.8
2446,Frantz,7.5
2447,Eric Clapton: Life In 12 Bars,6.1
2448,The Night Of The Virgin,5.9
2449,The Cage Fighter,7.9
2450,Tehran Taboo,7.5
2451,Double Lover,6.3
2452,Blockers,7.0
2453,Ali'S Wedding,7.0
2454,"Love, Simon",7.6
2455,I Can Only Imagine,6.3
2456,The Mimic,6.4
2457,Lust Stories,7.0
2458,Phantom Thread,8.6
2459,An Ordinary Man,5.8
2460,The Strangers: Prey At Night,5.2
2461,The Valley,5.4
2462,Maktub,6.1
2463,The Humanity Bureau,4.0
2464,Sunday'S Illness,6.8
2465,The Quest Of Alain Ducasse,7.3
2466,Alex Strangelove,6.3
2467,Zoo,7.2
2468,The Jurassic Games,5.9
2469,Set It Up,7.3
2470,Cold Turkey,6.7
2471,The Two Of Us,8.5
2472,Miss Stevens,7.6
2473,Red Sparrow,5.8
2474,Early Man,6.8
2475,Social Animals,5.6
2476,All Summers End,4.1
2477,A Fantastic Woman,8.2
2478,The Party,7.2
2479,Freak Show,5.9
2480,Death Wish,4.3
2481,On The Beach At Night Alone,8.0
2482,Discreet,6.5
2483,Game Night,7.0
2484,Devil'S Gate,5.5
2485,Gringo,5.4
2486,Annihilation,7.9
2487,They Remain,6.1
2488,The Bachelors,6.3
2489,Every Day,5.9
2490,The Hurricane Heist,5.0
2491,I Kill Giants,6.8
2492,Cold November,7.9
2493,It Came From The Desert,6.2
2494,The Last Witness,5.9
2495,The Debt Collector,5.0
2496,Ibiza,6.6
2497,Steve Martin And Martin Short: An Evening You Will Forget For The Rest Of Your Life,7.5
2498,Hooked,5.0
2499,La Belle Noiseuse,8.9
2500,Moonrise,8.3
2501,Beyond The Hills,8.2
2502,The Cleanse,6.7
2503,Fifty Shades Freed,3.6
2504,Peter Rabbit,5.9
2505,Downsizing,5.9
2506,Anon,5.3
2507,Pali Road,5.0
2508,The Forgiven,6.1
2509,Samson,5.7
2510,The Son Of Bigfoot,5.8
2511,One October,8.9
2512,Catching Feelings,7.2
2513,Cargo,7.3
2514,Batman Ninja,6.6
2515,The Monkey King 3,4.8
2516,A Little Something For Your Birthday,5.3
2517,Submergence,4.6
2518,Tremors: A Cold Day In Hell,5.5
2519,Class Rank,6.7
2520,Steven Tyler: Out On A Limb,7.4
2521,Duck Butter,6.5
2522,End Game,7.0
2523,The Kissing Booth,4.2
2524,John Mulaney: Kid Gorgeous At Radio City,8.5
2525,Hari Kondabolu: Warn Your Relatives,7.4
2526,Ali Wong: Hard Knock Wife,8.1
2527,The Commuter,5.7
2528,Do Not Resist,7.5
2529,Equal Means Equal,9.3
2530,Please Stand By,6.2
2531,Forever My Girl,4.7
2532,Vazante,7.2
2533,The Strange Ones,6.2
2534,Den Of Thieves,5.3
2535,Bombshell: The Hedy Lamarr Story,7.6
2536,Film Stars Don'T Die In Liverpool,6.9
2537,The Week Of,4.2
2538,Let The Sunshine In,7.5
2539,The Insult,7.5
2540,Most Likely To Murder,6.3
2541,Mary And The Witch'S Flower,7.0
2542,Public Schooled,5.9
2543,Black Cop,7.7
2544,Kodachrome,6.6
2545,Winchester,4.3
2546,Nostalgia,6.0
2547,Dear Dictator,4.2
2548,Pass Over,7.6
2549,7 Guardians Of The Tomb,4.4
2550,Supercon,4.4
2551,The Escape Of Prisoner 614,4.1
2552,The Rachel Divide,6.0
2553,Mercury 13,7.5
2554,Candy Jar,5.8
2555,Psychokinesis,6.6
2556,Shakespeare Wallah,7.3
2557,The Greatest Showman,6.2
2558,Molly'S Game,7.2
2559,Father Figures,3.8
2560,Thelma,7.5
2561,Insidious: The Last Key,5.6
2562,Killing For Love,7.0
2563,Half Magic,5.4
2564,Proud Mary,4.6
2565,The Archer,6.6
2566,In The Fade,6.9
2567,Sun Dogs,6.4
2568,Mohawk,7.0
2569,All The Money In The World,7.1
2570,Basmati Blues,4.2
2571,The Tribes Of Palos Verdes,5.8
2572,Deep Blue Sea 2,2.2
2573,King In The Wilderness,8.7
2574,Come Sunday,6.1
2575,Elis,5.2
2576,Braven,6.3
2577,10X10,5.7
2578,"Mabel, Mabel, Tiger Trainer",7.0
2579,Suicide Squad: Hell To Pay,7.2
2580,6 Balloons,7.0
2581,Amateur,6.5
2582,20 Weeks,6.5
2583,4/20 Massacre,5.9
2584,I Am Not An Easy Man,7.1
2585,Do You Trust This Computer?,6.9
2586,Star Wars: The Last Jedi,8.2
2587,Pyewacket,6.8
2588,Lady Bird,8.8
2589,The Titan,4.0
2590,Backstabbing For Beginners,5.2
2591,Midnight Return: The Story Of Billy Hayes And Turkey,6.0
2592,Small Town Crime,7.6
2593,A Suitable Girl,7.2
2594,Roxanne Roxanne,6.6
2595,Last Men In Aleppo,8.2
2596,Caught,5.9
2597,Sweet Virginia,7.1
2598,The Divine Order,6.7
2599,"Game Over, Man!",4.0
2600,Madame,5.7
2601,Dog Years,6.2
2602,Permanent,6.5
2603,I Remember You,6.2
2604,The China Hustle,6.7
2605,Justice League,5.5
2606,Terrifier,6.2
2607,Acts Of Violence,2.7
2608,The Competition,4.2
2609,Status Update,4.5
2610,First Match,7.6
2611,Paradox,4.4
2612,Happy Anniversary,6.7
2613,Ferdinand,6.5
2614,Daughter Of The Nile,8.4
2615,The Breadwinner,7.9
2616,Pitch Perfect 3,4.9
2617,Court,7.9
2618,The Shape Of Water,8.4
2619,Jumanji: Welcome To The Jungle,6.4
2620,The Disaster Artist,7.9
2621,Wonder Wheel,5.3
2622,Call Me By Your Name,8.8
2623,Porto,6.2
2624,1:54,6.5
2625,Sidney Hall,3.9
2626,Song Of Granite,7.3
2627,Frank Serpico,6.5
2628,The Clapper,4.8
2629,Hondros,7.9
2630,"I, Tonya",7.8
2631,Imitation Girl,7.4
2632,Kickboxer: Retaliation,6.7
2633,Arthur Miller: Writer,8.4
2634,Allure,5.8
2635,Huntsville,5.0
2636,Ricky Gervais: Humanity,6.1
2637,Benji,6.2
2638,Demon House,4.7
2639,Juggernaut,5.7
2640,Take Your Pills,7.7
2641,Prodigy,6.3
2642,Same Kind Of Different As Me,6.1
2643,The Star,5.1
2644,Coco,8.4
2645,Murder On The Orient Express,6.3
2646,"Three Billboards Outside Ebbing, Missouri",8.5
2647,Sleeping Giant,7.6
2648,Darkest Hour,7.4
2649,All I See Is You,5.1
2650,The Man From Earth: Holocene,8.0
2651,Just Getting Started,2.8
2652,Sami Blood,7.3
2653,Mom And Dad,6.1
2654,Daddy'S Home 2,4.1
2655,Dance Academy: The Movie,6.7
2656,The Chamber,4.9
2657,The Young Karl Marx,6.1
2658,Like Me,6.4
2659,Mute,4.7
2660,My Friend Dahmer,7.2
2661,The Man Who Invented Christmas,6.6
2662,The Lullaby,5.7
2663,Faces Places,8.8
2664,Wonder,7.2
2665,Midnighters,6.3
2666,Scorched Earth,4.4
2667,The Lodgers,5.9
2668,The Ravenous,7.0
2669,Let There Be Light,4.6
2670,Hangman,3.7
2671,Notes From The Field,10.0
2672,Curvature,5.9
2673,Survivors Guide To Prison,7.9
2674,Peppermint Soda,8.7
2675,Dealt,7.8
2676,Casanova Variations,6.7
2677,Teenage Cocktail,7.6
2678,Red Dog: True Blue,6.6
2679,Don'T Call Me Son,6.8
2680,Suburbicon,5.2
2681,The Housemaid: Co Hau Gai,6.3
2682,Golden Exits,6.6
2683,Mad To Be Normal,5.7
2684,The Ballad Of Lefty Brown,6.6
2685,The Snowman,3.5
2686,Blade Of The Immortal,7.2
2687,Blade Runner 2049,8.4
2688,Entanglement,6.3
2689,Becks,7.2
2690,"Roman J. Israel, Esq.",6.0
2691,Brad'S Status,7.0
2692,PokãMon The Movie: I Choose You!,5.3
2693,Still/Born,5.5
2694,The Ritual,6.2
2695,Happy Family,3.4
2696,When We First Met,5.6
2697,Seeing Allred,7.8
2698,Kill Order,4.2
2699,Day Of The Dead: Bloodline,3.0
2700,Accident Man,5.8
2701,Bomb City,6.2
2702,Hellraiser: Judgment,4.5
2703,Where'S Daddy?,8.1
2704,Irreplaceable You,5.6
2705,Old Stone,7.6
2706,Traffic Stop,8.2
2707,Chris Rock: Tamborine,7.8
2708,Comradeship,8.4
2709,The Odyssey,5.8
2710,A Bad Moms Christmas,4.9
2711,Take Every Wave: The Life Of Laird Hamilton,5.8
2712,Walking Out,7.1
2713,God'S Own Country,8.1
2714,Django,5.9
2715,On Body And Soul,7.5
2716,Tom Of Finland,6.9
2717,Stratton,3.4
2718,The Square,7.6
2719,Tyler Perry'S Boo 2! A Madea Halloween,3.0
2720,Professor Marston & The Wonder Women,7.4
2721,Fatal Countdown: Reset,5.9
2722,The Stray,5.4
2723,Last Flag Flying,7.2
2724,Ancien And The Magic Tablet,6.2
2725,Batman: Gotham By Gaslight,6.6
2726,Only The Brave,7.2
2727,Battle Of The Sexes,7.3
2728,Victor Crowley,6.9
2729,Blood Honey,4.2
2730,24 Hours To Live,5.0
2731,Just Charlie,7.8
2732,Woody Woodpecker,2.7
2733,Living Among Us,4.5
2734,The Music Of Silence,4.5
2735,Fred Armisen: Standup For Drummers,6.5
2736,Counterfeiters,5.8
2737,Geostorm,4.1
2738,Step Sisters,4.2
2739,Showdown In Manila,4.0
2740,Flatliners,3.8
2741,"I, Daniel Blake",8.0
2742,A Futile And Stupid Gesture,6.8
2743,The Sunshine Makers,7.3
2744,Jigsaw,5.0
2745,Aida'S Secrets,8.0
2746,My Entire High School Sinking Into The Sea,6.9
2747,Victoria & Abdul,6.3
2748,Crooked House,5.2
2749,Girl Flu,8.0
2750,Chasing The Dragon,6.0
2751,American Folk,6.3
2752,Thank You For Your Service,6.9
2753,The Killing Of A Sacred Deer,7.7
2754,Goodbye Christopher Robin,6.4
2755,Loving Vincent,7.3
2756,Happy Death Day,6.3
2757,09-Nov,4.3
2758,Red Trees,7.7
2759,The Open House,3.1
2760,The Final Year,6.7
2761,Rebel In The Rye,5.6
2762,Planet Earth: One Amazing Day,6.7
2763,Beyond Skyline,5.7
2764,The Midnight Man,4.5
2765,The Revival,6.7
2766,Delirium,4.2
2767,My Little Pony: The Movie,5.3
2768,Mark Felt: The Man Who Brought Down The White House,5.5
2769,England Is Mine,5.7
2770,Marshall,6.9
2771,Unfriend,3.8
2772,Una,6.8
2773,Landline,6.8
2774,Mudbound,8.3
2775,The Polka King,6.3
2776,It,7.4
2777,Misfortune,5.6
2778,The Foreigner,6.4
2779,Radius,7.3
2780,The Dark Tower,4.4
2781,The Tiger Hunter,6.8
2782,Bad Day For The Cut,7.2
2783,Polina,6.9
2784,November Criminals,3.7
2785,68 Kill,6.8
2786,So B. It,5.9
2787,Saturday Church,7.5
2788,Blame,6.7
2789,Abe & Phil'S Last Poker Game,6.5
2790,Shock Wave,6.6
2791,Psychopaths,5.0
2792,The Adventurers,5.0
2793,The Houses October Built 2,4.2
2794,Trafficked,4.2
2795,The Stolen,5.0
2796,Slumber,3.2
2797,Bullet Head,5.7
2798,What Lies Upstream,8.8
2799,Tom Segura: Disgraceful,8.0
2800,The Lego Ninjago Movie,6.0
2801,Spider-Man: Homecoming,7.8
2802,The Mountain Between Us,5.4
2803,American Made,7.1
2804,Top Cat Begins,2.9
2805,Thank You For Playing,7.0
2806,The House,4.2
2807,Stronger,7.4
2808,78/52,7.3
2809,Mother!,7.1
2810,The Unknown Girl,6.5
2811,Mayhem,7.2
2812,Bright,4.3
2813,Killing Gunther,5.2
2814,Detroit,7.7
2815,Chavela,7.0
2816,Tomorrow Ever After,5.4
2817,The King'S Choice,6.8
2818,Axolotl Overkill,7.0
2819,The Trip To Spain,7.2
2820,Love And Saucers,6.9
2821,The Challenge,7.4
2822,A Question Of Faith,7.4
2823,Wolf Warrior Ii,5.8
2824,4 Days In France,8.0
2825,Leatherface,4.2
2826,Jeepers Creepers 3,3.8
2827,Brawl In Cell Block 99,7.7
2828,The Big Sick,8.3
2829,The Mummy,4.5
2830,Blood Money,4.2
2831,Judd Apatow: The Return,5.7
2832,Christmas Inheritance,6.2
2833,Despicable Me 3,5.9
2834,American Assassin,4.9
2835,Tulip Fever,4.8
2836,All Eyez On Me,4.6
2837,Endless Poetry,7.5
2838,Lost In Paris,6.9
2839,The Women'S Balcony,7.4
2840,Karl Marx City,8.2
2841,Better Watch Out,7.1
2842,Kaleidoscope,6.4
2843,Kepler'S Dream,6.6
2844,Love Is Thicker Than Water,5.4
2845,The Osiris Child,6.0
2846,One Last Heist,3.9
2847,Conor Mcgregor: Notorious,5.8
2848,Home Again,4.9
2849,Gook,7.2
2850,Crown Heights,6.9
2851,Valerian And The City Of A Thousand Planets,5.7
2852,Boston,8.2
2853,The New Radical,6.4
2854,Dalida,6.7
2855,The Crucifixion,3.6
2856,Santoalla,6.8
2857,Manolo: The Boy Who Made Shoes For Lizards,5.5
