Movie,Released_Year,Genre,Director,IMDB_Rating
Dil Bechara,2020,Comedy,Mukesh Chhabra,7.9
Manbiki Kazoku,2018,Crime,Hirokazu Koreeda,7.9
Marriage Story,2019,Comedy,Noah Baumbach,7.9
Call Me By Your Name,2017,Drama,Luca Guadagnino,7.9
"I, Daniel Blake",2016,Drama,Ken Loach,7.9
Isle Of Dogs,2018,Animation,Wes Anderson,7.9
Hunt For The Wilderpeople,2016,Adventure,Taika Waititi,7.9
Captain Fantastic,2016,Comedy,Matt Ross,7.9
Sing Street,2016,Comedy,John Carney,7.9
Thor: Ragnarok,2017,Action,Taika Waititi,7.9
Nightcrawler,2014,Crime,Dan Gilroy,7.9
Jojo Rabbit,2019,Comedy,Taika Waititi,7.9
Arrival,2016,Drama,Denis Villeneuve,7.9
Star Wars: Episode Vii - The Force Awakens,2015,Action,J.J. Abrams,7.9
Before Midnight,2013,Drama,Richard Linklater,7.9
X-Men: Days Of Future Past,2014,Action,Bryan Singer,7.9
Bir Zamanlar Anadolu'Da,2011,Crime,Nuri Bilge Ceylan,7.9
The Artist,2011,Comedy,Michel Hazanavicius,7.9
Edge Of Tomorrow,2014,Action,Doug Liman,7.9
Amour,2012,Drama,Michael Haneke,7.9
The Irishman,2019,Biography,Martin Scorsese,7.9
Un Prophã¨Te,2009,Crime,Jacques Audiard,7.9
Moon,2009,Drama,Duncan Jones,7.9
Lã¥T Den Rã¤Tte Komma In,2008,Crime,Tomas Alfredson,7.9
District 9,2009,Action,Neill Blomkamp,7.9
The Wrestler,2008,Drama,Darren Aronofsky,7.9
Jab We Met,2007,Comedy,Imtiaz Ali,7.9
Boyhood,2014,Drama,Richard Linklater,7.9
"4 Luni, 3 Saptamã¢Ni Si 2 Zile",2007,Drama,Cristian Mungiu,7.9
Star Trek,2009,Action,J.J. Abrams,7.9
In Bruges,2008,Comedy,Martin McDonagh,7.9
The Man From Earth,2007,Drama,Richard Schenkman,7.9
Letters From Iwo Jima,2006,Action,Clint Eastwood,7.9
The Fall,2006,Adventure,Tarsem Singh,7.9
Life Of Pi,2012,Adventure,Ang Lee,7.9
Fantastic Mr. Fox,2009,Animation,Wes Anderson,7.9
C.R.A.Z.Y.,2005,Comedy,Jean-Marc VallÃ©e,7.9
Les Choristes,2004,Drama,Christophe Barratier,7.9
Iron Man,2008,Action,Jon Favreau,7.9
Shaun Of The Dead,2004,Comedy,Edgar Wright,7.9
Gegen Die Wand,2004,Drama,Fatih Akin,7.9
Mystic River,2003,Crime,Clint Eastwood,7.9
Harry Potter And The Prisoner Of Azkaban,2004,Adventure,Alfonso CuarÃ³n,7.9
Ying Xiong,2002,Action,Yimou Zhang,7.9
Hable Con Ella,2002,Drama,Pedro AlmodÃ³var,7.9
No Man'S Land,2001,Comedy,Danis Tanovic,7.9
Cowboy Bebop: Tengoku No Tobira,2001,Animation,Shin'ichirÃ´ Watanabe,7.9
The Bourne Identity,2002,Action,Doug Liman,7.9
Nueve Reinas,2000,Crime,FabiÃ¡n Bielinsky,7.9
Children Of Men,2006,Adventure,Alfonso CuarÃ³n,7.9
Almost Famous,2000,Adventure,Cameron Crowe,7.9
Mulholland Dr.,2001,Drama,David Lynch,7.9
Toy Story 2,1999,Animation,John Lasseter,7.9
Boogie Nights,1997,Drama,Paul Thomas Anderson,7.9
Mimi Wo Sumaseba,1995,Animation,Yoshifumi KondÃ´,7.9
Once Were Warriors,1994,Crime,Lee Tamahori,7.9
True Romance,1993,Crime,Tony Scott,7.9
Trois Couleurs: Bleu,1993,Drama,Krzysztof Kieslowski,7.9
Jã»Bãª Ninpã»Chã´,1993,Animation,Yoshiaki Kawajiri,7.9
Carlito'S Way,1993,Crime,Brian De Palma,7.9
Edward Scissorhands,1990,Drama,Tim Burton,7.9
My Left Foot: The Story Of Christy Brown,1989,Biography,Jim Sheridan,7.9
Crimes And Misdemeanors,1989,Comedy,Woody Allen,7.9
The Untouchables,1987,Crime,Brian De Palma,7.9
Hannah And Her Sisters,1986,Comedy,Woody Allen,7.9
Brazil,1985,Drama,Terry Gilliam,7.9
This Is Spinal Tap,1984,Comedy,Rob Reiner,7.9
A Christmas Story,1983,Comedy,Bob Clark,7.9
The Blues Brothers,1980,Action,John Landis,7.9
Manhattan,1979,Comedy,Woody Allen,7.9
All That Jazz,1979,Drama,Bob Fosse,7.9
Dawn Of The Dead,1978,Action,George A. Romero,7.9
All The President'S Men,1976,Biography,Alan J. Pakula,7.9
La Montaã±A Sagrada,1973,Adventure,Alejandro Jodorowsky,7.9
Amarcord,1973,Comedy,Federico Fellini,7.9
Le Charme Discret De La Bourgeoisie,1972,Comedy,Luis BuÃ±uel,7.9
"Aguirre, Der Zorn Gottes",1972,Action,Werner Herzog,7.9
Harold And Maude,1971,Comedy,Hal Ashby,7.9
Patton,1970,Biography,Franklin J. Schaffner,7.9
The Wild Bunch,1969,Action,Sam Peckinpah,7.9
Night Of The Living Dead,1968,Horror,George A. Romero,7.9
The Lion In Winter,1968,Biography,Anthony Harvey,7.9
In The Heat Of The Night,1967,Crime,Norman Jewison,7.9
Charade,1963,Comedy,Stanley Donen,7.9
The Manchurian Candidate,1962,Drama,John Frankenheimer,7.9
Spartacus,1960,Adventure,Stanley Kubrick,7.9
L'Avventura,1960,Drama,Michelangelo Antonioni,7.9
Hiroshima Mon Amour,1959,Drama,Alain Resnais,7.9
The Ten Commandments,1956,Adventure,Cecil B. DeMille,7.9
The Searchers,1956,Adventure,John Ford,7.9
East Of Eden,1955,Drama,Elia Kazan,7.9
High Noon,1952,Drama,Fred Zinnemann,7.9
Strangers On A Train,1951,Crime,Alfred Hitchcock,7.9
Harvey,1950,Comedy,Henry Koster,7.9
Miracle On 34Th Street,1947,Comedy,George Seaton,7.9
Notorious,1946,Drama,Alfred Hitchcock,7.9
The Big Sleep,1946,Crime,Howard Hawks,7.9
The Lost Weekend,1945,Drama,Billy Wilder,7.9
The Philadelphia Story,1940,Comedy,George Cukor,7.9
His Girl Friday,1940,Comedy,Howard Hawks,7.9
The Adventures Of Robin Hood,1938,Action,Michael Curtiz,7.9
A Night At The Opera,1935,Comedy,Sam Wood,7.9
King Kong,1933,Adventure,Merian C. Cooper,7.9
Freaks,1932,Drama,Tod Browning,7.9
Nosferatu,1922,Fantasy,F.W. Murnau,7.9
The Gentlemen,2019,Action,Guy Ritchie,7.8
Raazi,2018,Action,Meghna Gulzar,7.8
Sound Of Metal,2019,Drama,Darius Marder,7.8
Forushande,2016,Drama,Asghar Farhadi,7.8
Dunkirk,2017,Action,Christopher Nolan,7.8
Perfetti Sconosciuti,2016,Comedy,Paolo Genovese,7.8
Hidden Figures,2016,Biography,Theodore Melfi,7.8
Paddington 2,2017,Adventure,Paul King,7.8
Udta Punjab,2016,Action,Abhishek Chaubey,7.8
Kubo And The Two Strings,2016,Animation,Travis Knight,7.8
M.S. Dhoni: The Untold Story,2016,Biography,Neeraj Pandey,7.8
Manchester By The Sea,2016,Drama,Kenneth Lonergan,7.8
Under Sandet,2015,Drama,Martin Zandvliet,7.8
Rogue One,2016,Action,Gareth Edwards,7.8
Captain America: Civil War,2016,Action,Anthony Russo,7.8
The Hateful Eight,2015,Crime,Quentin Tarantino,7.8
Little Women,2019,Drama,Greta Gerwig,7.8
Loving Vincent,2017,Animation,Dorota Kobiela,7.8
Pride,2014,Biography,Matthew Warchus,7.8
Le Passã©,2013,Drama,Asghar Farhadi,7.8
La Grande Bellezza,2013,Drama,Paolo Sorrentino,7.8
The Lunchbox,2013,Drama,Ritesh Batra,7.8
Vicky Donor,2012,Comedy,Shoojit Sircar,7.8
Big Hero 6,2014,Animation,Don Hall,7.8
About Time,2013,Comedy,Richard Curtis,7.8
English Vinglish,2012,Comedy,Gauri Shinde,7.8
Kaze Tachinu,2013,Animation,Hayao Miyazaki,7.8
Toy Story 4,2019,Animation,Josh Cooley,7.8
La Migliore Offerta,2013,Crime,Giuseppe Tornatore,7.8
Moonrise Kingdom,2012,Comedy,Wes Anderson,7.8
How To Train Your Dragon 2,2014,Animation,Dean DeBlois,7.8
The Big Short,2015,Biography,Adam McKay,7.8
Kokuhaku,2010,Drama,Tetsuya Nakashima,7.8
Ang-Ma-Reul Bo-At-Da,2010,Action,Jee-woon Kim,7.8
The Girl With The Dragon Tattoo,2011,Crime,David Fincher,7.8
Captain Phillips,2013,Adventure,Paul Greengrass,7.8
Ajeossi,2010,Action,Jeong-beom Lee,7.8
Straight Outta Compton,2015,Biography,F. Gary Gray,7.8
Madeo,2009,Crime,Bong Joon Ho,7.8
Chugyeokja,2008,Action,Hong-jin Na,7.8
The Hobbit: The Desolation Of Smaug,2013,Adventure,Peter Jackson,7.8
Das WeiãE Band - Eine Deutsche Kindergeschichte,2009,Drama,Michael Haneke,7.8
Mã¤N Som Hatar Kvinnor,2009,Crime,Niels Arden Oplev,7.8
The Trial Of The Chicago 7,2020,Drama,Aaron Sorkin,7.8
Druk,2020,Comedy,Thomas Vinterberg,7.8
The Fighter,2010,Biography,David O. Russell,7.8
Taken,2008,Action,Pierre Morel,7.8
The Boy In The Striped Pyjamas,2008,Drama,Mark Herman,7.8
Once,2007,Drama,John Carney,7.8
The Hobbit: An Unexpected Journey,2012,Adventure,Peter Jackson,7.8
Auf Der Anderen Seite,2007,Drama,Fatih Akin,7.8
Atonement,2007,Drama,Joe Wright,7.8
Drive,2011,Crime,Nicolas Winding Refn,7.8
American Gangster,2007,Biography,Ridley Scott,7.8
Avatar,2009,Action,James Cameron,7.8
Mr. Nobody,2009,Drama,Jaco Van Dormael,7.8
Apocalypto,2006,Action,Mel Gibson,7.8
Little Miss Sunshine,2006,Comedy,Jonathan Dayton,7.8
Hot Fuzz,2007,Action,Edgar Wright,7.8
The Curious Case Of Benjamin Button,2008,Drama,David Fincher,7.8
Veer-Zaara,2004,Drama,Yash Chopra,7.8
Adams Ã¦Bler,2005,Comedy,Anders Thomas Jensen,7.8
Pride & Prejudice,2005,Drama,Joe Wright,7.8
The World'S Fastest Indian,2005,Biography,Roger Donaldson,7.8
Tã´Kyã´ Goddofã¢Zã¢Zu,2003,Animation,Satoshi Kon,7.8
Serenity,2005,Action,Joss Whedon,7.8
Walk The Line,2005,Biography,James Mangold,7.8
Ondskan,2003,Drama,Mikael HÃ¥fstrÃ¶m,7.8
The Notebook,2004,Drama,Nick Cassavetes,7.8
Diarios De Motocicleta,2004,Adventure,Walter Salles,7.8
Lilja 4-Ever,2002,Crime,Lukas Moodysson,7.8
Les Triplettes De Belleville,2003,Animation,Sylvain Chomet,7.8
Gongdong Gyeongbi Guyeok Jsa,2000,Action,Chan-wook Park,7.8
The Count Of Monte Cristo,2002,Action,Kevin Reynolds,7.8
Waking Life,2001,Animation,Richard Linklater,7.8
Remember The Titans,2000,Biography,Boaz Yakin,7.8
Wo Hu Cang Long,2000,Action,Ang Lee,7.8
Todo Sobre Mi Madre,1999,Drama,Pedro AlmodÃ³var,7.8
Cast Away,2000,Adventure,Robert Zemeckis,7.8
The Boondock Saints,1999,Action,Troy Duffy,7.8
The Insider,1999,Biography,Michael Mann,7.8
October Sky,1999,Biography,Joe Johnston,7.8
Shrek,2001,Animation,Andrew Adamson,7.8
Titanic,1997,Drama,James Cameron,7.8
Hana-Bi,1997,Crime,Takeshi Kitano,7.8
Gattaca,1997,Drama,Andrew Niccol,7.8
The Game,1997,Action,David Fincher,7.8
Breaking The Waves,1996,Drama,Lars von Trier,7.8
Ed Wood,1994,Biography,Tim Burton,7.8
What'S Eating Gilbert Grape,1993,Drama,Lasse HallstrÃ¶m,7.8
Tombstone,1993,Action,George P. Cosmatos,7.8
The Sandlot,1993,Comedy,David Mickey Evans,7.8
The Remains Of The Day,1993,Drama,James Ivory,7.8
Naked,1993,Comedy,Mike Leigh,7.8
The Fugitive,1993,Action,Andrew Davis,7.8
A Bronx Tale,1993,Crime,Robert De Niro,7.8
Batman: Mask Of The Phantasm,1993,Animation,Kevin Altieri,7.8
Lat Sau San Taam,1992,Action,John Woo,7.8
Night On Earth,1991,Comedy,Jim Jarmusch,7.8
La Double Vie De Vã©Ronique,1991,Drama,Krzysztof Kieslowski,7.8
Boyz N The Hood,1991,Crime,John Singleton,7.8
Misery,1990,Drama,Rob Reiner,7.8
Awakenings,1990,Biography,Penny Marshall,7.8
Majo No Takkyã»Bin,1989,Animation,Hayao Miyazaki,7.8
Glory,1989,Biography,Edward Zwick,7.8
Dip Huet Seung Hung,1989,Action,John Woo,7.8
Back To The Future Part Ii,1989,Adventure,Robert Zemeckis,7.8
Mississippi Burning,1988,Crime,Alan Parker,7.8
Predator,1987,Action,John McTiernan,7.8
Evil Dead Ii,1987,Action,Sam Raimi,7.8
Ferris Bueller'S Day Off,1986,Comedy,John Hughes,7.8
Down By Law,1986,Comedy,Jim Jarmusch,7.8
The Goonies,1985,Adventure,Richard Donner,7.8
The Color Purple,1985,Drama,Steven Spielberg,7.8
The Breakfast Club,1985,Comedy,John Hughes,7.8
The Killing Fields,1984,Biography,Roland JoffÃ©,7.8
Ghostbusters,1984,Action,Ivan Reitman,7.8
The Right Stuff,1983,Adventure,Philip Kaufman,7.8
The King Of Comedy,1982,Comedy,Martin Scorsese,7.8
E.T. The Extra-Terrestrial,1982,Family,Steven Spielberg,7.8
Kramer Vs. Kramer,1979,Drama,Robert Benton,7.8
Days Of Heaven,1978,Drama,Terrence Malick,7.8
The Outlaw Josey Wales,1976,Western,Clint Eastwood,7.8
The Man Who Would Be King,1975,Adventure,John Huston,7.8
The Conversation,1974,Drama,Francis Ford Coppola,7.8
La Planã¨Te Sauvage,1973,Animation,RenÃ© Laloux,7.8
The Day Of The Jackal,1973,Crime,Fred Zinnemann,7.8
Badlands,1973,Action,Terrence Malick,7.8
Cabaret,1972,Drama,Bob Fosse,7.8
Willy Wonka & The Chocolate Factory,1971,Family,Mel Stuart,7.8
Midnight Cowboy,1969,Drama,John Schlesinger,7.8
Wait Until Dark,1967,Thriller,Terence Young,7.8
Guess Who'S Coming To Dinner,1967,Comedy,Stanley Kramer,7.8
Bonnie And Clyde,1967,Action,Arthur Penn,7.8
My Fair Lady,1964,Drama,George Cukor,7.8
Mary Poppins,1964,Comedy,Robert Stevenson,7.8
The Longest Day,1962,Action,Ken Annakin,7.8
Jules Et Jim,1962,Drama,FranÃ§ois Truffaut,7.8
The Innocents,1961,Horror,Jack Clayton,7.8
Ã Bout De Souffle,1960,Crime,Jean-Luc Godard,7.8
Red River,1948,Action,Howard Hawks,7.8
Key Largo,1948,Action,John Huston,7.8
To Have And Have Not,1944,Adventure,Howard Hawks,7.8
Shadow Of A Doubt,1943,Film-Noir,Alfred Hitchcock,7.8
Stagecoach,1939,Adventure,John Ford,7.8
The Lady Vanishes,1938,Mystery,Alfred Hitchcock,7.8
Bringing Up Baby,1938,Comedy,Howard Hawks,7.8
Bride Of Frankenstein,1935,Drama,James Whale,7.8
Duck Soup,1933,Comedy,Leo McCarey,7.8
Scarface: The Shame Of The Nation,1932,Action,Howard Hawks,7.8
Frankenstein,1931,Drama,James Whale,7.8
Roma,2018,Drama,Alfonso CuarÃ³n,7.7
God'S Own Country,2017,Drama,Francis Lee,7.7
Deadpool 2,2018,Action,David Leitch,7.7
Wind River,2017,Crime,Taylor Sheridan,7.7
Get Out,2017,Horror,Jordan Peele,7.7
Mission: Impossible - Fallout,2018,Action,Christopher McQuarrie,7.7
En Man Som Heter Ove,2015,Comedy,Hannes Holm,7.7
What We Do In The Shadows,2014,Comedy,Jemaine Clement,7.7
Omoide No Mã¢Nã®,2014,Animation,James Simone,7.7
The Theory Of Everything,2014,Biography,James Marsh,7.7
Kingsman: The Secret Service,2014,Action,Matthew Vaughn,7.7
The Fault In Our Stars,2014,Drama,Josh Boone,7.7
Me And Earl And The Dying Girl,2015,Comedy,Alfonso Gomez-Rejon,7.7
Birdman Or (The Unexpected Virtue Of Ignorance),2014,Comedy,Alejandro G. IÃ±Ã¡rritu,7.7
La Vie D'Adã¨Le,2013,Drama,Abdellatif Kechiche,7.7
Kai Po Che!,2013,Drama,Abhishek Kapoor,7.7
The Broken Circle Breakdown,2012,Drama,Felix van Groeningen,7.7
Captain America: The Winter Soldier,2014,Action,Anthony Russo,7.7
Rockstar,2011,Drama,Imtiaz Ali,7.7
Nebraska,2013,Adventure,Alexander Payne,7.7
Wreck-It Ralph,2012,Animation,Rich Moore,7.7
Le Petit Prince,2015,Animation,Mark Osborne,7.7
Detachment,2011,Drama,Tony Kaye,7.7
Midnight In Paris,2011,Comedy,Woody Allen,7.7
The Lego Movie,2014,Animation,Christopher Miller,7.7
Gravity,2013,Drama,Alfonso CuarÃ³n,7.7
Star Trek Into Darkness,2013,Action,J.J. Abrams,7.7
Beasts Of No Nation,2015,Drama,Cary Joji Fukunaga,7.7
The Social Network,2010,Biography,David Fincher,7.7
X: First Class,2011,Action,Matthew Vaughn,7.7
The Hangover,2009,Comedy,Todd Phillips,7.7
Skyfall,2012,Action,Sam Mendes,7.7
Silver Linings Playbook,2012,Comedy,David O. Russell,7.7
Argo,2012,Biography,Ben Affleck,7.7
(500) Days Of Summer,2009,Comedy,Marc Webb,7.7
Harry Potter And The Deathly Hallows: Part 1,2010,Adventure,David Yates,7.7
Gake No Ue No Ponyo,2008,Animation,Hayao Miyazaki,7.7
Frost/Nixon,2008,Biography,Ron Howard,7.7
Papurika,2006,Animation,Satoshi Kon,7.7
Changeling,2008,Biography,Clint Eastwood,7.7
Flipped,2010,Comedy,Rob Reiner,7.7
Toki O Kakeru Shã´Jo,2006,Animation,Mamoru Hosoda,7.7
Death Note: Desu Nã´To,2006,Crime,ShÃ»suke Kaneko,7.7
This Is England,2006,Crime,Shane Meadows,7.7
Ex Machina,2014,Drama,Alex Garland,7.7
Efter Brylluppet,2006,Drama,Susanne Bier,7.7
The Last King Of Scotland,2006,Biography,Kevin Macdonald,7.7
Zodiac,2007,Crime,David Fincher,7.7
Lucky Number Slevin,2006,Action,Paul McGuigan,7.7
Joyeux Noã«L,2005,Drama,Christian Carion,7.7
Control,2007,Biography,Anton Corbijn,7.7
Tangled,2010,Animation,Nathan Greno,7.7
Zwartboek,2006,Drama,Paul Verhoeven,7.7
Brokeback Mountain,2005,Drama,Ang Lee,7.7
3:10 To Yuma,2007,Action,James Mangold,7.7
Crash,2004,Crime,Paul Haggis,7.7
Kung Fu,2004,Action,Stephen Chow,7.7
The Bourne Supremacy,2004,Action,Paul Greengrass,7.7
The Machinist,2004,Drama,Brad Anderson,7.7
Ray,2004,Biography,Taylor Hackford,7.7
Lost In Translation,2003,Comedy,Sofia Coppola,7.7
Harry Potter And The Goblet Of Fire,2005,Adventure,Mike Newell,7.7
Man On Fire,2004,Action,Tony Scott,7.7
Coraline,2009,Animation,Henry Selick,7.7
The Last Samurai,2003,Action,Edward Zwick,7.7
The Magdalene Sisters,2002,Drama,Peter Mullan,7.7
Good Bye Lenin!,2003,Comedy,Wolfgang Becker,7.7
In America,2002,Drama,Jim Sheridan,7.7
I Am Sam,2001,Drama,Jessie Nelson,7.7
Adaptation.,2002,Comedy,Spike Jonze,7.7
Black Hawk Down,2001,Drama,Ridley Scott,7.7
Road To Perdition,2002,Crime,Sam Mendes,7.7
Das Experiment,2001,Drama,Oliver Hirschbiegel,7.7
Billy Elliot,2000,Drama,Stephen Daldry,7.7
Hedwig And The Angry Inch,2001,Comedy,John Cameron Mitchell,7.7
Ocean'S Eleven,2001,Crime,Steven Soderbergh,7.7
Vampire Hunter D: Bloodlust,2000,Animation,Yoshiaki Kawajiri,7.7
"O Brother, Where Art Thou?",2000,Adventure,Joel Coen,7.7
Interstate 60: Episodes Of The Road,2002,Adventure,Bob Gale,7.7
"South Park: Bigger, Longer & Uncut",1999,Animation,Trey Parker,7.7
Office Space,1999,Comedy,Mike Judge,7.7
Happiness,1998,Comedy,Todd Solondz,7.7
Training Day,2001,Crime,Antoine Fuqua,7.7
Rushmore,1998,Comedy,Wes Anderson,7.7
Abre Los Ojos,1997,Drama,Alejandro AmenÃ¡bar,7.7
Being John Malkovich,1999,Comedy,Spike Jonze,7.7
As Good As It Gets,1997,Comedy,James L. Brooks,7.7
The Fifth Element,1997,Action,Luc Besson,7.7
Le Dã®Ner De Cons,1998,Comedy,Francis Veber,7.7
Donnie Brasco,1997,Biography,Mike Newell,7.7
Shine,1996,Biography,Scott Hicks,7.7
Primal Fear,1996,Crime,Gregory Hoblit,7.7
Hamlet,1996,Drama,Kenneth Branagh,7.7
A Little Princess,1995,Drama,Alfonso CuarÃ³n,7.7
Do Lok Tin Si,1995,Comedy,Kar-Wai Wong,7.7
Il Postino,1994,Biography,Michael Radford,7.7
Clerks,1994,Comedy,Kevin Smith,7.7
Short Cuts,1993,Comedy,Robert Altman,7.7
Philadelphia,1993,Drama,Jonathan Demme,7.7
The Muppet Christmas Carol,1992,Comedy,Brian Henson,7.7
Malcolm X,1992,Biography,Spike Lee,7.7
The Last Of The Mohicans,1992,Action,Michael Mann,7.7
Kurenai No Buta,1992,Animation,Hayao Miyazaki,7.7
Glengarry Glen Ross,1992,Crime,James Foley,7.7
A Few Good Men,1992,Drama,Rob Reiner,7.7
Fried Green Tomatoes,1991,Drama,Jon Avnet,7.7
Barton Fink,1991,Comedy,Joel Coen,7.7
Miller'S Crossing,1990,Crime,Joel Coen,7.7
Who Framed Roger Rabbit,1988,Animation,Robert Zemeckis,7.7
Spoorloos,1988,Mystery,George Sluizer,7.7
Withnail & I,1987,Comedy,Bruce Robinson,7.7
The Last Emperor,1987,Biography,Bernardo Bertolucci,7.7
Empire Of The Sun,1987,Action,Steven Spielberg,7.7
Der Name Der Rose,1986,Crime,Jean-Jacques Annaud,7.7
Blue Velvet,1986,Drama,David Lynch,7.7
The Purple Rose Of Cairo,1985,Comedy,Woody Allen,7.7
After Hours,1985,Comedy,Martin Scorsese,7.7
Zelig,1983,Comedy,Woody Allen,7.7
The Verdict,1982,Drama,Sidney Lumet,7.7
Star Trek Ii: The Wrath Of Khan,1982,Action,Nicholas Meyer,7.7
First Blood,1982,Action,Ted Kotcheff,7.7
Ordinary People,1980,Drama,Robert Redford,7.7
Airplane!,1980,Comedy,Jim Abrahams,7.7
Rupan Sansei: Kariosutoro No Shiro,1979,Animation,Hayao Miyazaki,7.7
Halloween,1978,Horror,John Carpenter,7.7
Le Locataire,1976,Drama,Roman Polanski,7.7
Love And Death,1975,Comedy,Woody Allen,7.7
The Taking Of Pelham One Two Three,1974,Action,Joseph Sargent,7.7
Blazing Saddles,1974,Comedy,Mel Brooks,7.7
Serpico,1973,Biography,Sidney Lumet,7.7
Enter The Dragon,1973,Action,Robert Clouse,7.7
Deliverance,1972,Adventure,John Boorman,7.7
The French Connection,1971,Action,William Friedkin,7.7
Dirty Harry,1971,Action,Don Siegel,7.7
Where Eagles Dare,1968,Action,Brian G. Hutton,7.7
The Odd Couple,1968,Comedy,Gene Saks,7.7
The Dirty Dozen,1967,Action,Robert Aldrich,7.7
Belle De Jour,1967,Drama,Luis BuÃ±uel,7.7
A Man For All Seasons,1966,Biography,Fred Zinnemann,7.7
Repulsion,1965,Drama,Roman Polanski,7.7
Zulu,1964,Drama,Cy Endfield,7.7
Goldfinger,1964,Action,Guy Hamilton,7.7
The Birds,1963,Drama,Alfred Hitchcock,7.7
Cape Fear,1962,Drama,J. Lee Thompson,7.7
Peeping Tom,1960,Drama,Michael Powell,7.7
The Magnificent Seven,1960,Action,John Sturges,7.7
Les Yeux Sans Visage,1960,Drama,Georges Franju,7.7
Invasion Of The Body Snatchers,1956,Drama,Don Siegel,7.7
Rebel Without A Cause,1955,Drama,Nicholas Ray,7.7
The Ladykillers,1955,Comedy,Alexander Mackendrick,7.7
Sabrina,1954,Comedy,Billy Wilder,7.7
The Quiet Man,1952,Comedy,John Ford,7.7
The Day The Earth Stood Still,1951,Drama,Robert Wise,7.7
The African Queen,1951,Adventure,John Huston,7.7
Gilda,1946,Drama,Charles Vidor,7.7
Fantasia,1940,Animation,James Algar,7.7
The Invisible Man,1933,Horror,James Whale,7.7
Dark Waters,2019,Biography,Todd Haynes,7.6
Searching,2018,Drama,Aneesh Chaganty,7.6
Once Upon A Time... In Hollywood,2019,Comedy,Quentin Tarantino,7.6
Nelyubov,2017,Drama,Andrey Zvyagintsev,7.6
The Florida Project,2017,Drama,Sean Baker,7.6
Just Mercy,2019,Biography,Destin Daniel Cretton,7.6
Gifted,2017,Drama,Marc Webb,7.6
The Peanut Butter Falcon,2019,Adventure,Tyler Nilson,7.6
Victoria,2015,Crime,Sebastian Schipper,7.6
Mustang,2015,Drama,Deniz Gamze ErgÃ¼ven,7.6
Guardians Of The Galaxy Vol. 2,2017,Action,James Gunn,7.6
Baby Driver,2017,Action,Edgar Wright,7.6
Only The Brave,2017,Action,Joseph Kosinski,7.6
Bridge Of Spies,2015,Drama,Steven Spielberg,7.6
Incredibles 2,2018,Animation,Brad Bird,7.6
Moana,2016,Animation,Ron Clements,7.6
Sicario,2015,Action,Denis Villeneuve,7.6
Creed,2015,Drama,Ryan Coogler,7.6
Leviafan,2014,Crime,Andrey Zvyagintsev,7.6
Hell Or High Water,2016,Action,David Mackenzie,7.6
Philomena,2013,Biography,Stephen Frears,7.6
Dawn Of The Planet Of The Apes,2014,Action,Matt Reeves,7.6
El Cuerpo,2012,Mystery,Oriol Paulo,7.6
Serbuan Maut,2011,Action,Gareth Evans,7.6
End Of Watch,2012,Action,David Ayer,7.6
Kari-Gurashi No Arietti,2010,Animation,Hiromasa Yonebayashi,7.6
A Star Is Born,2018,Drama,Bradley Cooper,7.6
True Grit,2010,Drama,Ethan Coen,7.6
Hã¦Vnen,2010,Drama,Susanne Bier,7.6
Despicable Me,2010,Animation,Pierre Coffin,7.6
50/50,2011,Comedy,Jonathan Levine,7.6
Kick-Ass,2010,Action,Matthew Vaughn,7.6
Celda 211,2009,Action,Daniel MonzÃ³n,7.6
Moneyball,2011,Biography,Bennett Miller,7.6
La Piel Que Habito,2011,Drama,Pedro AlmodÃ³var,7.6
Zombieland,2009,Adventure,Ruben Fleischer,7.6
Die Welle,2008,Drama,Dennis Gansel,7.6
Sherlock Holmes,2009,Action,Guy Ritchie,7.6
The Blind Side,2009,Biography,John Lee Hancock,7.6
The Visitor,2007,Drama,Tom McCarthy,7.6
Seven Pounds,2008,Drama,Gabriele Muccino,7.6
Eastern Promises,2007,Action,David Cronenberg,7.6
Stardust,2007,Adventure,Matthew Vaughn,7.6
The Secret Of Kells,2009,Animation,Tomm Moore,7.6
Inside Man,2006,Crime,Spike Lee,7.6
Gone Baby Gone,2007,Crime,Ben Affleck,7.6
La Vie En Rose,2007,Biography,Olivier Dahan,7.6
Huo Yuan Jia,2006,Action,Ronny Yu,7.6
The Illusionist,2006,Drama,Neil Burger,7.6
Dead Man'S Shoes,2004,Crime,Shane Meadows,7.6
Harry Potter And The Half-Blood Prince,2009,Action,David Yates,7.6
300,2006,Action,Zack Snyder,7.6
Match Point,2005,Drama,Woody Allen,7.6
Watchmen,2009,Action,Zack Snyder,7.6
Lord Of War,2005,Action,Andrew Niccol,7.6
Saw,2004,Horror,James Wan,7.6
"Synecdoche, New York",2008,Drama,Charlie Kaufman,7.6
Mysterious Skin,2004,Drama,Gregg Araki,7.6
Jeux D'Enfants,2003,Comedy,Yann Samuell,7.6
Un Long Dimanche De Fianã§Ailles,2004,Drama,Jean-Pierre Jeunet,7.6
The Station Agent,2003,Comedy,Tom McCarthy,7.6
21 Grams,2003,Crime,Alejandro G. IÃ±Ã¡rritu,7.6
Boksuneun Naui Geot,2002,Crime,Chan-wook Park,7.6
Finding Neverland,2004,Biography,Marc Forster,7.6
25Th Hour,2002,Drama,Spike Lee,7.6
The Butterfly Effect,2004,Drama,Eric Bress,7.6
28 Days Later...,2002,Drama,Danny Boyle,7.6
