Movie,Released_Year,Genre,Director,IMDB_Rating
Amadeus,1984,Biography,Milos Forman,8.3
Scarface,1983,Crime,Brian De Palma,8.3
Star Wars: Episode Vi - Return Of The Jedi,1983,Action,Richard Marquand,8.3
Das Boot,1981,Adventure,Wolfgang Petersen,8.3
Taxi Driver,1976,Crime,Martin Scorsese,8.3
The Sting,1973,Comedy,George Roy Hill,8.3
A Clockwork Orange,1971,Crime,Stanley Kubrick,8.3
2001: A Space Odyssey,1968,Adventure,Stanley Kubrick,8.3
Per Qualche Dollaro In Piã¹,1965,Western,Sergio Leone,8.3
Lawrence Of Arabia,1962,Adventure,David Lean,8.3
The Apartment,1960,Comedy,Billy Wilder,8.3
North By Northwest,1959,Adventure,Alfred Hitchcock,8.3
Vertigo,1958,Mystery,Alfred Hitchcock,8.3
Singin' In The Rain,1952,Comedy,Stanley Donen,8.3
Ikiru,1952,Drama,Akira Kurosawa,8.3
Ladri Di Biciclette,1948,Drama,Vittorio De Sica,8.3
Double Indemnity,1944,Crime,Billy Wilder,8.3
Citizen Kane,1941,Drama,Orson Welles,8.3
M - Eine Stadt Sucht Einen Mã¶Rder,1931,Crime,Fritz Lang,8.3
Metropolis,1927,Drama,Fritz Lang,8.3
The Kid,1921,Comedy,Charles Chaplin,8.3
Chhichhore,2019,Comedy,Nitesh Tiwari,8.2
Uri: The Surgical Strike,2018,Action,Aditya Dhar,8.2
K.G.F: Chapter 1,2018,Action,Prashanth Neel,8.2
Green Book,2018,Biography,Peter Farrelly,8.2
"Three Billboards Outside Ebbing, Missouri",2017,Comedy,Martin McDonagh,8.2
Talvar,2015,Crime,Meghna Gulzar,8.2
Baahubali 2: The Conclusion,2017,Action,S.S. Rajamouli,8.2
Klaus,2019,Animation,Sergio Pablos,8.2
Drishyam,2015,Crime,Nishikant Kamat,8.2
Queen,2013,Adventure,Vikas Bahl,8.2
Mandariinid,2013,Drama,Zaza Urushadze,8.2
Bhaag Milkha Bhaag,2013,Biography,Rakeysh Omprakash Mehra,8.2
Gangs Of Wasseypur,2012,Action,Anurag Kashyap,8.2
Udaan,2010,Drama,Vikramaditya Motwane,8.2
Paan Singh Tomar,2012,Action,Tigmanshu Dhulia,8.2
El Secreto De Sus Ojos,2009,Drama,Juan JosÃ© Campanella,8.2
Warrior,2011,Action,Gavin O'Connor,8.2
Shutter Island,2010,Mystery,Martin Scorsese,8.2
Up,2009,Animation,Pete Docter,8.2
The Wolf Of Wall Street,2013,Biography,Martin Scorsese,8.2
Chak De! India,2007,Drama,Shimit Amin,8.2
There Will Be Blood,2007,Drama,Paul Thomas Anderson,8.2
Pan'S Labyrinth,2006,Drama,Guillermo del Toro,8.2
Toy Story 3,2010,Animation,Lee Unkrich,8.2
V For Vendetta,2005,Action,James McTeigue,8.2
Rang De Basanti,2006,Comedy,Rakeysh Omprakash Mehra,8.2
Black,2005,Drama,Sanjay Leela Bhansali,8.2
Batman Begins,2005,Action,Christopher Nolan,8.2
"Swades: We, The People",2004,Drama,Ashutosh Gowariker,8.2
Der Untergang,2004,Biography,Oliver Hirschbiegel,8.2
Hauru No Ugoku Shiro,2004,Animation,Hayao Miyazaki,8.2
A Beautiful Mind,2001,Biography,Ron Howard,8.2
Hera Pheri,2000,Action,Priyadarshan,8.2
"Lock, Stock And Two Smoking Barrels",1998,Action,Guy Ritchie,8.2
L.A. Confidential,1997,Crime,Curtis Hanson,8.2
Eskiya,1996,Crime,Yavuz Turgul,8.2
Heat,1995,Crime,Michael Mann,8.2
Casino,1995,Crime,Martin Scorsese,8.2
Andaz Apna Apna,1994,Action,Rajkumar Santoshi,8.2
Unforgiven,1992,Drama,Clint Eastwood,8.2
Indiana Jones And The Last Crusade,1989,Action,Steven Spielberg,8.2
Dom Za Vesanje,1988,Comedy,Emir Kusturica,8.2
Tonari No Totoro,1988,Animation,Hayao Miyazaki,8.2
Die Hard,1988,Action,John McTiernan,8.2
Ran,1985,Action,Akira Kurosawa,8.2
Raging Bull,1980,Biography,Martin Scorsese,8.2
Stalker,1979,Drama,Andrei Tarkovsky,8.2
Hã¶Stsonaten,1978,Drama,Ingmar Bergman,8.2
The Message,1976,Biography,Moustapha Akkad,8.2
Sholay,1975,Action,Ramesh Sippy,8.2
Monty Python And The Holy Grail,1975,Adventure,Terry Gilliam,8.2
The Great Escape,1963,Adventure,John Sturges,8.2
To Kill A Mockingbird,1962,Crime,Robert Mulligan,8.2
Yã´Jinbã´,1961,Action,Akira Kurosawa,8.2
Judgment At Nuremberg,1961,Drama,Stanley Kramer,8.2
Some Like It Hot,1959,Comedy,Billy Wilder,8.2
Smultronstã¤Llet,1957,Drama,Ingmar Bergman,8.2
Det Sjunde Inseglet,1957,Drama,Ingmar Bergman,8.2
Du Rififi Chez Les Hommes,1955,Crime,Jules Dassin,8.2
Dial M For Murder,1954,Crime,Alfred Hitchcock,8.2
Tã´Kyã´ Monogatari,1953,Drama,YasujirÃ´ Ozu,8.2
Rashã´Mon,1950,Crime,Akira Kurosawa,8.2
All About Eve,1950,Drama,Joseph L. Mankiewicz,8.2
The Treasure Of The Sierra Madre,1948,Adventure,John Huston,8.2
To Be Or Not To Be,1942,Comedy,Ernst Lubitsch,8.2
The Gold Rush,1925,Adventure,Charles Chaplin,8.2
Sherlock Jr.,1924,Action,Buster Keaton,8.2
Portrait De La Jeune Fille En Feu,2019,Drama,CÃ©line Sciamma,8.1
Pink,2016,Drama,Aniruddha Roy Chowdhury,8.1
Koe No Katachi,2016,Animation,Naoko Yamada,8.1
Contratiempo,2016,Crime,Oriol Paulo,8.1
Ah-Ga-Ssi,2016,Drama,Chan-wook Park,8.1
Mommy,2014,Drama,Xavier Dolan,8.1
Haider,2014,Action,Vishal Bhardwaj,8.1
Logan,2017,Action,James Mangold,8.1
Room,2015,Drama,Lenny Abrahamson,8.1
Relatos Salvajes,2014,Comedy,DamiÃ¡n Szifron,8.1
Soul,2020,Animation,Pete Docter,8.1
Kis Uykusu,2014,Drama,Nuri Bilge Ceylan,8.1
Pk,2014,Comedy,Rajkumar Hirani,8.1
Omg: Oh My God!,2012,Comedy,Umesh Shukla,8.1
The Grand Budapest Hotel,2014,Adventure,Wes Anderson,8.1
